ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol
P,Contini,Napoli,1,35.69,R,,,Roma Bologna Frosinone,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,De Marzi,Roma,1,35.69,R,,,Lazio Napoli Juventus,,,,,,,,,0.45,1,,,
P,Gollini,Roma,1,35.69,R,,,Lazio Napoli Juventus,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,Russo A.,Sassuolo,1,35.69,R,,,Inter Parma Bologna,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,Turati,Sassuolo,1,35.69,R,Mod.,Infortuni,Inter Parma Bologna,0.7479584345479084,6,6.17,5,,,,7,0.45,1,,,
P,Mascardi,Torino,1,35.69,R,Jolly,,Juventus Lazio Lecce,,,,,,,,,0.65,1,,,
P,Paleari,Torino,1,35.69,R,,,Juventus Lazio Lecce,0.714563047478837,29,6.09,4.52,,,,45,0.625,1,,,
P,Siviero,Torino,1,35.69,R,,,Juventus Lazio Lecce,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,Padelli,Udinese,1,35.69,R,,,Genoa Lecce Milan,0.7542314439946021,2,6.25,5.25,,,,2,0.45,1,,,
P,Piana,Udinese,1,35.69,R,,,Genoa Lecce Milan,,,,,,,,,0.45,1,,,
P,Grandi,Venezia,1,35.69,R,,,Cagliari Monza Bologna,,,,,,,,,0.425,1,,,
P,Pozzi,Venezia,1,35.69,R,,,Cagliari Monza Bologna,,,,,,,,,0.425,1,,,
P,Satalino,Sassuolo,1,35.69,R,,,Inter Parma Bologna,0. N.D.,0,0,0,,,,0,0.425,1,,,
P,Penev,Lecce,1,35.69,R,,,Parma Bologna Fiorentina,,,,,,,,,0.425,1,,,
P,Pisseri,Frosinone,1,35.69,R,,,Atalanta Como Napoli,,,,,,,,,0.425,1,,,
P,Radunovic,Cagliari,1,35.69,R,,,Atalanta Fiorentina Venezia,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,Montipò,Venezia,1,35.69,R,mod.,jolly,Cagliari Monza Bologna,0.7350438596491229,35,6.2,4.94,,,,54,0.475,1,,,
P,Bleve,Lecce,1,35.69,R,,,Parma Bologna Fiorentina,,,,,,,,,0.45,1,,,
P,Grabara,Juventus,1,35.69,R,jolly,,Torino Genoa Roma,,,,,,,,,0.675,1,,,
P,Mrozek,Udinese,1,35.69,R,,,Genoa Lecce Milan,,,,,,,,,0.45,1,,,
D,Dimarco,Inter,31,89.28,Top,Mod.,Calci Piazzati,Milan Sassuolo Juventus,0.9205741626794259,35,6.6,7.64,7,17,3,,33.575,31.848183732057418,12.820292347377473,1,1
D,Wesley,Roma,18,80.64000000000001,Top,Titolare,Mod.,Lazio Napoli Juventus,0.682850880175212,30,6.12,6.47,5,0,5,,20.1,12.389646369899049,9.157351676698195,1,1
D,Molina N.,Roma,18,80.64000000000001,Top,Titolare,Bonus,Lazio Napoli Juventus,,,,,,,,,16.275000000000002, Prezzo N.D.,,,
D,Bremer,Juventus,16,79.2,Top,Titolare,Mod.,Torino Genoa Roma,0.7073145093604466,26,6.33,6.81,4,3,5,,15.6,11.203861828269474,7.3258813413585555,1,1
