ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol
D,Vitik,Bologna,4,60.96,Scommessa,,Jolly,Atalanta Lecce Napoli,0.5145036198301562,18,5.94,5.86,0,0,3,,0.6,1.5682070332423161,0,1,1
D,Rodriguez Ju.,Cagliari,4,60.96,titolare,Inaffidabile,,Atalanta Fiorentina Venezia,0.5191868414491727,16,5.62,5.72,1,0,3,,0.7,1.5824814927370785,1.8314703353396389,1,1
D,Smolcic I.,Como,4,60.96,Scommessa,Cartellini,Inaffidabile,Fiorentina Frosinone Genoa,0.531642129233266,25,5.96,5.84,0,1,8,,0.6,1.620445209902995,0,1,-1
D,Pongracic,Fiorentina,4,60.96,Scommessa,Cartellini,Infortuni,Cagliari Como Lazio,0.5550640881117598,35,5.84,5.67,0,0,12,,0.5,1.6918353405646436,0,1,-1
D,Parisi,Fiorentina,4,60.96,Scommessa,Cartellini,Bonus,Cagliari Como Lazio,0.5642612543902804,23,6.02,5.98,1,1,6,,0.55,1.7198683033815747,1.8314703353396389,-1,-1
D,Cittadini,Frosinone,4,60.96,titolare,,,Atalanta Como Napoli,0. N.D,,,,,,,,0.525, Prezzo N.D.,,,
D,Mitaj,Genoa,4,60.96,Scommessa,,Bonus,Juventus Bologna Como,0. N.D,,,,,,,,0.65, Prezzo N.D.,,,
D,Gatti,Juventus,4,60.96,Scommessa,Cartellini,Bonus,Torino Genoa Roma,0.5705442449531731,16,5.94,6.22,2,0,3,,0.675,1.7390188586172715,3.6629406706792778,1,1
D,Provstgaard,Lazio,4,60.96,Quarta,Scommessa,,Roma Genoa Torino,0.5396485382900374,23,5.91,5.85,0,0,3,,0.675,1.6448487447080344,0,-1,-1
D,Floriani Mussolini,Lazio,4,60.96,jolly,Scommessa,,Roma Genoa Torino,0.5379744521872478,23,5.72,5.72,0,1,2,,0.875,1.6397461302667315,0,1,1
D,Siebert,Lecce,4,60.96,titolare,Inaffidabile,,Parma Bologna Fiorentina,0.5378416173704132,19,5.68,5.76,1,0,3,,0.55,1.6393412497450197,1.8314703353396389,1,1
D,Birindelli,Monza,4,60.96,Quarta,Bonus,Cartellini,Lecce Venezia Atalanta,0. N.D,,,,,,,,0.925, Prezzo N.D.,,,
D,Valenti,Parma,4,60.96,Scommessa,Titolare,Infortuni,Lecce Sassuolo Milan,0.543510942992894,27,5.96,5.83,0,0,7,,0.625,1.6566213542423411,0,-1,-1
D,Rensch,Roma,4,60.96,jolly,,Infortuni,Lazio Napoli Juventus,0.5926144146378209,19,6.16,6.5,1,4,1,,0.775,1.8062887358160782,1.8314703353396389,1,1
D,Walukiewicz,Sassuolo,4,60.96,Scommessa,Inaffidabile,,Inter Parma Bologna,0.5763927492387773,34,5.81,5.74,0,1,7,,0.6,1.756845099679793,0,1,-1
D,Comert,Torino,4,60.96,Quarta,,,Juventus Lazio Lecce,0. N.D,,,,,,,,0.625, Prezzo N.D.,,,
D,Kabasele,Udinese,4,60.96,Quarta,Bonus,Titolare,Genoa Lecce Milan,0.6283476599638077,28,5.98,6.18,3,0,5,,0.8,1.9152036675696855,5.494411006018916,-1,1
D,Bertola,Udinese,4,60.96,Scommessa,Inaffidabile,,Genoa Lecce Milan,0.5513390989302357,25,5.86,5.84,0,1,3,,0.65,1.6804815735393586,0,1,1
D,Zanoli,Udinese,4,60.96,Scommessa,Bonus,,Genoa Lecce Milan,0.5779013461643582,19,6.05,6.29,1,2,1,,0.575,1.7614433031089636,1.8314703353396389,1,-1
D,Arizala,Udinese,4,60.96,,,,Genoa Lecce Milan,0.4539058259642443,5,5.8,5.8,0,0,0,,0.625,1.3835049575390166,0,1,1
D,Moreno M.,Venezia,4,60.96,Scommessa,Infortuni,,Cagliari Monza Bologna,0. N.D,,,,,,,,0.5, Prezzo N.D.,,,
D,Hainaut,Venezia,4,60.96,Terza,Bonus,Scommessa,Cagliari Monza Bologna,0. N.D.,0,0,0,0,0,0,,0.725, Prezzo N.D.,0,,
D,Terzic,Frosinone,4,60.96,Scommessa,,Jolly,Atalanta Como Napoli,,,,,,,,,0.55, Prezzo N.D.,,,
D,Favasuli,Napoli,4,60.96,Scommessa,Jolly,,Roma Bologna Frosinone,,,,,,,,,0.6, Prezzo N.D.,,,
D,Juan Jesus,Venezia,4,60.96,titolare,Inaffidabile,,Cagliari Monza Bologna,,,,,,,,,0.55, Prezzo N.D.,,,
D,Drameh,Genoa,3,56.34,Quarta,,,Juventus Bologna Como,,,,,,,,,0.525, Prezzo N.D.,,,
D,Casale,Bologna,3,56.34,,Jolly,Infortuni,Atalanta Lecce Napoli,0.47174945932179335,10,5.65,5.65,0,0,0,,0.475,0.9966886701821189,0,1,-1
D,Helland,Bologna,3,56.34,titolare,,,Atalanta Lecce Napoli,0.42868350075569694,6,5.5,5.33,0,0,2,,0.6,0.9057010662215987,0,1,1
D,Idrissi R.,Cagliari,3,56.34,Scommessa,Bonus,Jolly,Atalanta Fiorentina Venezia,0.5687678978502898,17,5.82,6.09,2,0,3,,0.55,1.2016643761831998,3.6629406706792778,1,1
D,Ranieri L.,Fiorentina,3,56.34,Scommessa,Cartellini,Bonus,Cagliari Como Lazio,0.559209094845634,31,5.85,5.79,1,0,8,,0.625,1.1814690151351133,1.8314703353396389,-1,-1
D,Joao Mario,Fiorentina,3,56.34,jolly,Bonus,Scommessa,Cagliari Como Lazio,0.5286285147591941,14,5.79,6,1,1,2,,0.975,1.1168598945574875,1.8314703353396389,1,1
D,Akpoguma,Frosinone,3,56.34,Scommessa,,Infortuni,Atalanta Como Napoli,0. N.D,,,,,,,,0.55, Prezzo N.D.,,,
D,Estupinan,Milan,3,56.34,Scommessa,Inaffidabile,Jolly,Inter Parma Cagliari,0.4778550735407267,14,5.64,5.71,1,1,5,,0.75,1.0095883066231706,1.8314703353396389,1,1
D,Lucchesi,Monza,3,56.34,titolare,Inaffidabile,Cartellini,Lecce Venezia Atalanta,0. N.D,,,,,,,,0.5, Prezzo N.D.,,,
D,Kouadio,Monza,3,56.34,titolare,Scommessa,,Lecce Venezia Atalanta,0.4441494025401438,1,6,6,0,0,0,,0.6,0.9383766502166888,0,1,1
D,Carboni A.,Monza,3,56.34,titolare,Bonus,Infortuni,Lecce Venezia Atalanta,0. N.D,,,,,,,,0.6, Prezzo N.D.,,,
D,Troilo,Parma,3,56.34,titolare,Inaffidabile,Cartellini,Lecce Sassuolo Milan,0.491301456878751,21,5.79,5.71,1,0,5,,0.75,1.0379971530205812,1.8314703353396389,1,1
D,Britschgi,Parma,3,56.34,Scommessa,,Bonus,Lecce Sassuolo Milan,0.5289805851948234,28,5.75,5.7,0,2,5,,0.55,1.1176037313703628,0,1,1
D,Candè,Sassuolo,3,56.34,,Inaffidabile,,Inter Parma Bologna,0.4509883347111234,8,5.69,5.56,0,0,2,,0.525,0.9528256041609258,0,-1,-1
D,Palma,Udinese,3,56.34,Scommessa,Infortuni,,Genoa Lecce Milan,0.4316983558372371,4,5.5,5.5,0,0,0,,0.7,0.9120707012951227,0,1,1
D,Ebosse,Udinese,3,56.34,Scommessa,Inaffidabile,,Genoa Lecce Milan,0.4929505287422717,16,5.75,5.72,0,1,4,,0.55,1.0414812296002345,0,1,-1
D,Halhal,Venezia,3,56.34,Scommessa,,,Cagliari Monza Bologna,0. N.D,,,,,,,,0.55, Prezzo N.D.,,,
D,Schingtienne,Venezia,3,56.34,titolare,,,Cagliari Monza Bologna,0. N.D,,,,,,,,0.625, Prezzo N.D.,,,
D,Sverko,Venezia,3,56.34,,Cartellini,,Cagliari Monza Bologna,0. N.D,,,,,,,,0.45, Prezzo N.D.,,,
D,Franjic,Venezia,3,56.34,Scommessa,,,Cagliari Monza Bologna,0. N.D,,,,,,,,0.525, Prezzo N.D.,,,
D,Odenthal,Sassuolo,3,56.34,titolare,,,Inter Parma Bologna,,,,,,,,,0.625, Prezzo N.D.,,,
D,Tchato,Frosinone,3,56.34,,,,Atalanta Como Napoli,,,,,,,,,0.525, Prezzo N.D.,,,
D,Kambwala,Como,3,56.34,,,,Fiorentina Frosinone Genoa,,,,,,,,,0.45, Prezzo N.D.,,,
D,Goglichidze,Monza,2,49.12,Scommessa,,,Lecce Venezia Atalanta,,,,,,,,,0.25, Prezzo N.D.,,,
D,Alhassane,Bologna,2,49.12,,,,Atalanta Lecce Napoli,0. N.D,,,,,,,,0.625, Prezzo N.D.,,,
D,Van Der Brempt,Sassuolo,2,49.12,titolare,Mod.,Infortuni,Inter Parma Bologna,0.5041614809204326,14,5.96,5.96,0,1,2,,0.625,0.6191102985702911,0,1,-1
D,Otoa,Genoa,2,49.12,,,,Juventus Bologna Como,0.45783545011982596,10,5.6,5.35,0,0,1,,0.5,0.5622219327471463,0,1,-1
D,Puczka,Genoa,2,49.12,Scommessa,,,Juventus Bologna Como,0. N.D,,,,,,,,0.575, Prezzo N.D.,,,
D,Sabelli,Genoa,2,49.12,Scommessa,Mod.,Bonus,Juventus Bologna Como,0.4923874178544887,13,5.81,5.65,0,0,0,,0.525,0.6046517491253119,0,-1,-1
D,Lazzari,Lazio,2,49.12,Scommessa,Cartellini,Bonus,Roma Genoa Torino,0.5060991006788748,17,5.79,5.74,0,0,2,,0.525,0.6214896956336582,0,-1,-1
D,Pellegrini Lu.,Lazio,2,49.12,Scommessa,Cartellini,Infortuni,Roma Genoa Torino,0.5478905497919001,24,5.85,5.81,1,0,8,,0.5,0.6728095951444534,1.8314703353396389,-1,1
D,Jean,Lecce,2,49.12,,Mod.,,Parma Bologna Fiorentina,0.4467425703716693,5,5.8,5.7,0,0,1,,0.975,0.5485998764164098,0,-1,-1
D,Ndaba,Lecce,2,49.12,Scommessa,,,Parma Bologna Fiorentina,0.45801414531092133,9,5.5,5.5,0,0,0,,0.55,0.5624413704418113,0,1,1
D,Diawara S.,Milan,2,49.12,,,,Inter Parma Cagliari,0. N.D,,,,,,,,0.5, Prezzo N.D.,,,
D,Bakoune,Monza,2,49.12,Scommessa,,,Lecce Venezia Atalanta,0. N.D,,,,,,,,0.525, Prezzo N.D.,,,
D,Marin R.,Napoli,2,49.12,jolly,Inaffidabile,Scommessa,Roma Bologna Frosinone,0. N.D,,,,,,,,0.8, Prezzo N.D.,,,
D,Ndiaye,Parma,2,49.12,Scommessa,,Cartellini,Lecce Sassuolo Milan,0.4289664487253355,11,5.59,5.36,0,0,3,,0.525,0.5267707990347119,0,1,1
D,Biraghi,Torino,2,49.12,,,,Juventus Lazio Lecce,0.47362375477007607,11,5.59,5.59,0,0,0,,0.475,0.5816099708576533,0,-1,-1
D,Abankwah,Udinese,2,49.12,jolly,Mod.,,Genoa Lecce Milan,0. N.D,,,,,,,,0.55, Prezzo N.D.,,,
D,Sagrado,Venezia,2,49.12,,,,Cagliari Monza Bologna,0. N.D,,,,,,,,0.65, Prezzo N.D.,,,
D,Aurelio,Cagliari,2,49.12,,,,Atalanta Fiorentina Venezia,,,,,,,,,0.5, Prezzo N.D.,,,
D,Cinquegrano,Sassuolo,2,49.12,titolare,Scommessa,Inaffidabile,Inter Parma Bologna,,,,,,,,,0.6, Prezzo N.D.,,,
D,Terracciano F.,Milan,2,49.12,Scommessa,Mod.,,Inter Parma Cagliari,,,,,,,,,0.75, Prezzo N.D.,,,
D,Lulli,Roma,2,49.12,jolly,Scommessa,Bonus,Lazio Napoli Juventus,,,,,,,,,1.1, Prezzo N.D.,,,
D,Drobnic,Parma,2,49.12,titolare,Scommessa,,Lecce Sassuolo Milan,,,,,,,,,0.475, Prezzo N.D.,,,
D,De Silvestri,Bologna,1,35.69,,Jolly,,Atalanta Lecce Napoli,0.4826331654934576,10,6.05,5.95,0,0,2,,0.4,0.21531472095576873,0,-1,-1
D,Goldaniga,Como,1,35.69,,Inaffidabile,Cartellini,Fiorentina Frosinone Genoa,0. N.D.,0,0,0,0,0,0,,0.45, Prezzo N.D.,0,,
D,Amey,Frosinone,1,35.69,,,,Atalanta Como Napoli,0. N.D,,,,,,,,0.475, Prezzo N.D.,,,
D,Rugani,Juventus,1,35.69,,Affidabile,Scommessa,Torino Genoa Roma,0.4509883347111234,8,5.69,5.56,0,0,2,,0.5,0.20119717082299987,0,1,-1
D,Cabal,Juventus,1,35.69,Scommessa,Jolly,,Torino Genoa Roma,0.5516935723411338,9,5.94,6.56,2,0,1,,0.5,0.2461242949606883,3.6629406706792778,1,1
D,Patric,Lazio,1,35.69,,,,Roma Genoa Torino,0.47133695733861064,10,5.85,5.75,0,0,2,,0.425,0.21027520009268763,0,-1,-1
D,Antov,Monza,1,35.69,,,,Lecce Venezia Atalanta,0. N.D,,,,,,,,0.475, Prezzo N.D.,,,
D,Marianucci,Napoli,1,35.69,Scommessa,,,Roma Bologna Frosinone,0.47538136785814805,11,5.73,5.73,0,1,2,,0.5,0.2120795127357163,0,-1,-1
D,Mazzocchi,Venezia,1,35.69,Scommessa,Infortuni,Jolly,Cagliari Monza Bologna,0.46080697972217277,9,5.94,5.94,0,1,0,,0.625,0.20557751382855433,0,1,-1
D,Carboni F.,Parma,1,35.69,,,,Lecce Sassuolo Milan,0.44941256043488065,2,6,6,0,0,0,,0.475,0.2004941785240111,0,1,-1
D,Ziolkowski,Monza,1,35.69,titolare,Mod.,Jolly,Lecce Venezia Atalanta,0.46504095793982825,9,5.94,5.78,0,0,3,,0.525,0.20746639736090589,0,1,1
D,Pieragnolo,Sassuolo,1,35.69,,,,Inter Parma Bologna,0. N.D.,0,0,0,0,0,0,,0.475, Prezzo N.D.,0,,
D,Gomes,Venezia,1,35.69,,,,Cagliari Monza Bologna,0. N.D,,,,,,,,0.425, Prezzo N.D.,,,
D,Omar Fayed,Frosinone,1,35.69,,,,Atalanta Como Napoli,,,,,,,,,0.425, Prezzo N.D.,,,
D,Maye,Monza,1,35.69,,,,Lecce Venezia Atalanta,,,,,,,,,0.425, Prezzo N.D.,,,
D,Dembelè A.,Lecce,1,35.69,Scommessa,,,Parma Bologna Fiorentina,,,,,,,,,0.5, Prezzo N.D.,,,
C,Paz N.,Como,29,88.16,Top,Affidabile,Titolare,Fiorentina Frosinone Genoa,0.9306294106823501,35,6.37,7.3,12,5,5,,41.575,29.741054706586542,17.765262252794496,1,1
C,Calhanoglu,Inter,28,87.36,Top,Titolare,Calci Piazzati,Milan Sassuolo Juventus,0.813011695906433,22,6.52,7.64,9,4,7,,36.949999999999996,24.858645614035094,13.323946689595873,1,1
C,McTominay,Napoli,27,86.94000000000001,Top,Affidabile,Bonus,Roma Bologna Frosinone,0.8839551856922576,33,6.39,7.26,10,2,1,,37.775000000000006,25.93723404737865,14.804385210662081,-1,-1
C,Orsolini,Bologna,25,85.5,Top,Calci Piazzati,Bonus,Atalanta Lecce Napoli,0.8568796548379053,34,6.06,6.76,10,1,2,,30.65,22.894753277700282,14.804385210662081,-1,-1
C,Pulisic,Milan,24,84.96000000000001,Top,Titolare,Bonus,Inter Parma Cagliari,0.8213896594933303,27,6.15,7.07,8,4,0,,29.65,20.935579641166,11.843508168529665,-1,-1
C,Rabiot,Milan,23,84.18,Semi-Top,Affidabile,Bonus,Inter Parma Cagliari,0.7124623791139859,29,6.33,6.98,6,4,4,,22.1,17.242836383721908,8.882631126397248,1,1
C,Baturina,Como,20,82.2,Top,Bonus,Affidabile,Fiorentina Frosinone Genoa,0.7284081425418171,25,6.3,7.14,6,3,0,,25.75,14.968787329234338,8.882631126397248,1,1
C,Mora,Roma,20,82.2,Semi-Top,Affidabile,Bonus,Lazio Napoli Juventus,,,,,,,,,20.674999999999997, Prezzo N.D.,,,
C,Da Cunha,Como,18,80.64000000000001,Semi-Top,Bonus,Cartellini,Fiorentina Frosinone Genoa,0.8175156142156804,35,6.34,6.91,6,4,4,,16.674999999999997,14.833003304329306,8.882631126397248,1,1
C,Barella,Inter,18,80.64000000000001,Semi-Top,Titolare,Affidabile,Milan Sassuolo Juventus,0.7222398554926489,34,6.28,6.71,3,9,7,,15.350000000000001,13.104319938058625,4.441315563198624,1,-1
C,Zaniolo,Udinese,18,80.64000000000001,Semi-Top,Infortuni,Cartellini,Genoa Lecce Milan,0.7149472480438778,31,6.26,6.77,5,5,8,,14.775,12.972002868508122,7.402192605331041,1,1
C,McKennie,Juventus,17,79.9,Semi-Top,Affidabile,Bonus,Torino Genoa Roma,0.7406628119941715,34,6.13,6.68,5,6,5,,13.424999999999999,12.575528719146037,7.402192605331041,1,1
C,De Bruyne,Napoli,17,79.9,Semi-Top,Affidabile,Bonus,Roma Bologna Frosinone,0.7119000357723613,17,6.26,7.24,5,2,1,,20.150000000000002,12.087172732369979,7.402192605331041,1,1
C,Zaccagni,Lazio,16,79.2,Semi-Top,Titolare,Calci Piazzati,Roma Fiorentina Torino,0.6268025744024728,26,5.88,5.96,3,0,6,,20.575,9.928552778535169,4.441315563198624,-1,-1
C,Atta,Fiorentina,15,78.3,Semi-Top,Affidabile,Titolare,Cagliari Como Lazio,0.7329035034990555,32,6.36,6.88,5,3,3,,17.5,10.759939560745506,7.402192605331041,1,1
C,Samardzic,Atalanta,13,76.44,Terza,Bonus,Affidabile,"Frosinone, Bologna Cagliari",0.5979608580171616,21,5.93,6.29,2,2,1,,10.325000000000001,7.427570797860172,2.960877042132416,1,-1
C,Conceicao,Juventus,13,76.44,Semi-Top,Bonus,Affidabile,Torino Genoa Roma,0.6929889358724814,30,6.28,6.7,3,5,3,,17.025,8.60796206694003,4.441315563198624,1,-1
C,Taylor K.,Lazio,13,76.44,Terza,Affidabile,Titolare,Roma Fiorentina Torino,0.5903449717077414,17,6.06,6.56,3,2,5,,7.925,7.332970066067709,4.441315563198624,1,1
C,Vlasic,Torino,13,76.44,Semi-Top,Bonus,Rigorista,Juventus Lazio Lecce,0.8290517169968574,37,6.03,6.66,8,3,7,,16.150000000000002,10.298065902676464,11.843508168529665,-1,1
C,Goncalves P.,Fiorentina,12,75.48,Semi-Top,Scommessa,Bonus,Cagliari Como Lazio,,,,,,,,,8, Prezzo N.D.,,,
C,Ederson D.S.,Atalanta,12,75.48,Terza,Affidabile,Titolare,"Frosinone, Bologna Cagliari",0.6961117387575944,30,6.25,6.43,2,1,3,,9.424999999999999,7.881377106213483,2.960877042132416,-1,-1
C,Gudmundsson A.,Lazio,12,75.48,Semi-Top,Bonus,Affidabile,Roma Fiorentina Torino,0.7254720228928087,32,5.88,6.34,5,3,4,,9.325,8.21379424319238,7.402192605331041,-1,-1
C,Zielinski,Inter,12,75.48,Semi-Top,Bonus,Rigorista,Milan Sassuolo Juventus,0.7780198248541621,30,6.25,6.8,6,2,3,,13.375,8.808740456998823,8.882631126397248,1,1
C,Modric,Milan,12,75.48,Terza,Affidabile,Titolare,Inter Parma Cagliari,0.6818585868197299,33,6.45,6.67,2,3,4,,6.2,7.720002919972983,2.960877042132416,1,1
C,Ekkelenkamp,Udinese,12,75.48,Semi-Top,Affidabile,Bonus,Genoa Lecce Milan,0.7182059374659631,31,6.05,6.61,5,3,1,,10.075000000000001,8.131527623989633,7.402192605331041,1,1
C,Jones C.,Inter,12,75.48,Scomm.,Scommessa,Bonus,Milan Sassuolo Juventus,,,,,,,,,7.925, Prezzo N.D.,,,
C,Gonzalez N.,Juventus,12,75.48,Semi-Top,Infortuni,Subentrante,Torino Genoa Roma,,,,,,,,,5.7, Prezzo N.D.,,,
C,Kessiè,Atalanta,12,75.48,Terza,Scommessa,Bonus,"Frosinone, Bologna Cagliari",,,,,,,,,8.4, Prezzo N.D.,,,
C,Rodriguez Je.,Como,11,74.47,Scomm.,Bonus,Affidabile,Fiorentina Frosinone Genoa,0.6554952542653865,28,6.25,6.66,2,8,3,,4.4,6.712025592957208,2.960877042132416,1,1
C,Baldanzi,Genoa,11,74.47,Terza,Affidabile,Bonus,Juventus Bologna Como,0.565774618400196,17,6.15,6.38,1,2,2,,5.4,5.793319926936108,1.480438521066208,1,-1
C,Alajbegovic,Juventus,11,74.47,Semi-Top,Bonus,Scommessa,Torino Genoa Roma,0. N.D,,,,,,,,14.25, Prezzo N.D.,,,
C,Saelemaekers,Milan,11,74.47,Terza,Infortuni,Affidabile,Inter Parma Cagliari,0.6891646555279409,35,6.14,6.41,3,3,5,,5.375,7.0567876358602915,4.441315563198624,-1,-1
C,Mastantuono,Fiorentina,11,74.47,Semi-Top,Bonus,Scommessa,Cagliari Como Lazio,,,,,,,,,18.075, Prezzo N.D.,,,
C,Moreira,Milan,11,74.47,Scomm.,Scommessa,Bonus,Inter Parma Cagliari,,,,,,,,,9.775, Prezzo N.D.,,,
C,Bernardeschi,Bologna,10,73.3,Terza,Bonus,Infortuni,Atalanta Lecce Napoli,0.7003831038479077,24,6.04,6.56,4,2,3,,5.475,6.417260189006453,5.921754084264832,1,1
C,Rowe,Atalanta,10,73.3,Semi-Top,Bonus,Infortuni,"Frosinone, Bologna Cagliari",0.6695893686614315,28,6.2,6.59,3,3,2,,11.549999999999999,6.1351125903603645,4.441315563198624,1,1
C,Perrone,Como,10,73.3,Quarta,Cartellini,Affidabile,Fiorentina Frosinone Genoa,0.6932937516222812,36,6.22,6.47,3,4,8,,2.75,6.352303999239152,4.441315563198624,1,1
C,Frattesi,Lazio,10,73.3,Semi-Top,Titolare,Bonus,Roma Fiorentina Torino,0.5085475388274754,14,5.89,5.89,0,0,0,,15.075,4.659566824506743,0,-1,-1
C,Zambo Anguissa,Napoli,10,73.3,Scomm.,Affidabile,Bonus,Roma Bologna Frosinone,0.6322325912694993,18,6.17,6.86,4,1,1,,5.6499999999999995,5.792831117506787,5.921754084264832,-1,-1
C,Vergara,Napoli,10,73.3,Scomm.,Scommessa,Affidabile,Roma Bologna Frosinone,0.5135039321555745,8,6.25,6.5,1,0,2,,4.4,4.704979778375452,1.480438521066208,1,1
C,Konè M.,Roma,10,73.3,Terza,Cartellini,Affidabile,Lazio Napoli Juventus,0.6584556700587754,29,6.26,6.53,2,3,2,,8.525,6.033100076913528,2.960877042132416,1,1
C,Thorstvedt,Sassuolo,10,73.3,Scomm.,Bonus,Infortuni,Inter Parma Bologna,0.6726321855291879,31,6.15,6.48,4,3,9,,1.95,6.162992399911184,5.921754084264832,1,1
C,Diouf,Inter,9,72,Semi-Top,Scommessa,Bonus,Milan Sassuolo Juventus,0.5232252913303399,10,6.15,6.45,1,0,1,,7.95,4.238124859775753,1.480438521066208,1,1
C,Sucic P.,Inter,9,72,Scomm.,Bonus,Subentrante,Milan Sassuolo Juventus,0.6242881673127884,28,6.07,6.27,2,2,5,,2.975,5.056734155233586,2.960877042132416,1,1
C,Locatelli,Juventus,9,72,Quarta,Cartellini,Affidabile,Torino Genoa Roma,0.6891750295395017,36,6.26,6.19,1,2,9,,2.025,5.582317739269964,1.480438521066208,-1,-1
C,Thuram K.,Juventus,9,72,,Affidabile,Cartellini,Torino Genoa Roma,0.6875714538221914,34,6.1,6.4,3,2,2,,3.175,5.56932877595975,4.441315563198624,-1,-1
C,Cancellieri,Lazio,9,72,Scomm.,Scommessa,Subentrante,Roma Fiorentina Torino,0.6447235982009543,28,5.93,6.29,4,1,6,,1.2249999999999999,5.222261145427729,5.921754084264832,1,1
C,Isaksen,Lazio,9,72,Scomm.,Bonus,Subentrante,Roma Fiorentina Torino,0.6898304350904995,27,6.04,6.63,5,1,0,,3.225,5.587626524233046,7.402192605331041,1,1
C,Colpani,Monza,9,72,Quarta,Bonus,,Lecce Venezia Atalanta,0. N.D,,,,,,,,2.525, Prezzo N.D.,,,
C,Politano,Napoli,9,72,Scomm.,Affidabile,Bonus,Roma Bologna Frosinone,0.6738115698994916,33,6.09,6.36,2,5,4,,7.550000000000001,5.457873716185883,2.960877042132416,-1,-1
C,Cristante,Roma,9,72,Quarta,Cartellini,Bonus,Lazio Napoli Juventus,0.6624476975799063,37,6.11,6.22,2,1,6,,1.675,5.365826350397239,2.960877042132416,-1,-1
C,Volpato,Sassuolo,9,72,Scomm.,Subentrante,Infortuni,Inter Parma Bologna,0.6108203436137749,21,6.14,6.52,2,4,4,,1.825,4.947644783271577,2.960877042132416,1,1
C,Casadei,Torino,9,72,Quarta,Inaffidabile,Subentrante,Juventus Lazio Lecce,0.7025409116695314,32,5.97,6.45,6,0,5,,3.35,5.690581384523205,8.882631126397248,1,1
C,Pellegrini Lo.,Roma,9,72,,Infortuni,Inaffidabile,Lazio Napoli Juventus,,,,,,,,,0.9, Prezzo N.D.,,,
C,Mbangula,Bologna,8,70.48,Terza,Scommessa,Affidabile,Atalanta Lecce Napoli,,,,,,,,,0.975, Prezzo N.D.,,,
C,Pasalic,Atalanta,8,70.48,Scomm.,Bonus,Scommessa,"Frosinone, Bologna Cagliari",0.6654549903007286,31,5.94,6.27,3,3,3,,1.55,4.690126771639536,4.441315563198624,1,-1
C,Odgaard,Bologna,8,70.48,Scomm.,Bonus,Inaffidabile,Atalanta Lecce Napoli,0.6554319267746129,22,5.91,6.61,5,1,1,,1.325,4.619484219907473,7.402192605331041,-1,-1
C,Cambiaghi,Bologna,8,70.48,Scomm.,Subentrante,Infortuni,Atalanta Lecce Napoli,0.6143221360288376,24,5.98,6.42,3,4,3,,1.425,4.329742414731248,4.441315563198624,-1,1
C,Mandragora,Torino,8,70.48,Quarta,Affidabile,Cartellini,Juventus Lazio Lecce,0.7902996491378342,34,6.04,6.62,7,2,7,,1.45,5.5700319271234555,10.363069647463456,-1,1
C,Calò,Frosinone,8,70.48,Terza,Titolare,Rigorista,Atalanta Como Napoli,0. N.D,,,,,,,,3.675, Prezzo N.D.,,,
C,Chukwueze,Milan,8,70.48,Scomm.,Bonus,Subentrante,Inter Parma Cagliari,0.41795387192807765,1,5.5,5.5,0,0,0,,4.6499999999999995,2.9457388893490917,0,-1,-1
C,Lobotka,Napoli,8,70.48,Titolare,Affidabile,,Roma Bologna Frosinone,0.6143789616494583,31,6.05,6.1,1,0,3,,1.4749999999999999,4.330142921705383,1.480438521066208,1,1
C,Konè I.,Sassuolo,8,70.48,Scomm.,Scommessa,,Inter Parma Bologna,0.7119337506390845,35,6.19,6.63,6,0,3,,0.7,5.017709074504268,8.882631126397248,1,1
C,Schmid,Frosinone,8,70.48,Quarta,Scommessa,Bonus,Atalanta Como Napoli,,,,,,,,,1.05, Prezzo N.D.,,,
C,Hutchinson,Milan,8,70.48,Scomm.,Scommessa,Bonus,Inter Parma Cagliari,,,,,,,,,1.4, Prezzo N.D.,,,
C,Gaetano,Atalanta,7,68.81,Quarta,Infortuni,Affidabile,"Frosinone, Bologna Cagliari",0.6607637105268659,32,6.06,6.31,2,4,4,,3.4749999999999996,3.978375705618443,2.960877042132416,-1,-1
C,Zalewski,Atalanta,7,68.81,Scomm.,Subentrante,Bonus,"Frosinone, Bologna Cagliari",0.6682105515665523,31,6.1,6.4,2,5,3,,1.375,4.023212204663266,2.960877042132416,1,1
C,Ferguson,Bologna,7,68.81,Titolare,Infortuni,Affidabile,Atalanta Lecce Napoli,0.5240851663414793,23,5.8,5.78,1,0,5,,0.975,3.155451275896255,1.480438521066208,-1,-1
C,Adopo,Cagliari,7,68.81,Titolare,,,Atalanta Fiorentina Venezia,0.6406975653354096,38,5.83,5.88,1,1,4,,0.65,3.8575599536888343,1.480438521066208,-1,-1
C,Romano,Cagliari,7,68.81,Quarta,Titolare,Bonus,Atalanta Fiorentina Venezia,0. N.D,,,,,,,,1.05, Prezzo N.D.,,,
C,Fagioli,Fiorentina,7,68.81,Quarta,Cartellini,Bonus,Cagliari Como Lazio,0.6538853980581494,33,6.03,6.23,2,3,5,,0.925,3.9369622460333598,2.960877042132416,1,1
C,Ndour,Fiorentina,7,68.81,Scomm.,Scommessa,,Cagliari Como Lazio,0.6375665136889055,30,5.8,6.07,3,0,2,,1.7750000000000001,3.8387082831066888,4.441315563198624,1,1
