ruolo,nome,squadra,qt_a,and_med,and_gol,rating_fv,s1_pg,s1_mv,s1_mf,s1_gf,s1_rc,s1_rpiu,s1_rmeno,s1_ass,s1_asf,s1_amm,s1_esp,s1_au,s2_pg,s2_mv,s2_mf,s2_gf,s2_rc,s2_rpiu,s2_rmeno,s2_ass,s2_asf,s2_amm,s2_esp,s2_au
,Athekame,,,1,1,False,17,5.94,6.32,2,0,0,0,2,,3,0,0,,,,,,,,,,,,
D,Estupinan,Milan,3,1,1,0.4778550735407267,14,5.64,5.71,1,0,0,0,1,,5,1,0,,,,,,,,,,,,
D,Kouadio,Monza,3,1,1,0.4441494025401438,1,6,6,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
D,Troilo,Parma,3,1,1,0.491301456878751,21,5.79,5.71,1,0,0,0,0,,5,2,0,,,,,,,,,,,,
D,Britschgi,Parma,3,1,1,0.5289805851948234,28,5.75,5.7,0,0,0,0,2,,5,1,0,,,,,,,,,,,,
,Angelino,,,-1,-1,False,6,5.83,5.67,0,0,0,0,0,,2,0,0,38,6.14,6.32,2,0,0,0,1,,1,0,0
D,Candè,Sassuolo,3,-1,-1,0.4509883347111234,8,5.69,5.56,0,0,0,0,0,,2,0,0,17,5.76,5.82,1,0,0,0,4,,4,0,0
D,Alhassane,Bologna,2,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Puczka,Genoa,2,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Diawara S.,Milan,2,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Marin R.,Napoli,2,,,0. N.D,,,,,,,,,,,,,3,6,5.83,0,0,0,0,1,,1,0,0
D,Palma,Udinese,3,1,1,0.4316983558372371,4,5.5,5.5,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
D,Franjic,Venezia,3,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Sagrado,Venezia,2,,,0. N.D,,,,,,,,,,,,,3,5.5,5.33,0,0,0,0,1,,1,0,0
D,Helland,Bologna,3,1,1,0.42868350075569694,6,5.5,5.33,0,0,0,0,0,,2,0,0,,,,,,,,,,,,
D,Van Der Brempt,Sassuolo,2,1,-1,0.5041614809204326,14,5.96,5.96,0,0,0,0,1,,2,0,0,18,5.94,5.92,0,0,0,0,3,,3,0,0
D,Otoa,Genoa,2,1,-1,0.45783545011982596,10,5.6,5.35,0,0,0,0,0,,1,0,1,3,5.17,4.67,0,0,0,0,1,,1,1,0
D,Sabelli,Genoa,2,-1,-1,0.4923874178544887,13,5.81,5.65,0,0,0,0,0,,0,0,1,30,5.87,5.9,0,0,0,0,3,,3,0,0
D,Lazzari,Lazio,2,-1,-1,0.5060991006788748,17,5.79,5.74,0,0,0,0,0,,2,0,0,22,5.89,5.86,0,0,0,0,3,,3,0,0
D,Pellegrini Lu.,Lazio,2,-1,1,0.5478905497919001,24,5.85,5.81,1,0,0,0,0,,8,0,0,19,6.08,6.11,0,0,0,0,5,,5,0,0
D,Jean,Lecce,2,-1,-1,0.4467425703716693,5,5.8,5.7,0,0,0,0,0,,1,0,0,18,5.75,5.75,0,0,0,0,0,,0,0,0
D,Biraghi,Torino,2,-1,-1,0.47362375477007607,11,5.59,5.59,0,0,0,0,0,,0,0,0,21,5.83,5.86,1,0,0,0,1,,1,0,1
D,Ebosse,Udinese,3,1,-1,0.4929505287422717,16,5.75,5.72,0,0,0,0,1,,4,0,0,2,5.5,5.25,0,0,0,0,1,,1,0,0
,Cuenca A.,,,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Amey,Frosinone,1,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Gelli J.,,,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Oyono J.,,,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Corrado,,,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Vogliacco,,,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,20,5.7,5.78,2,0,0,0,5,,5,0,1
,Matturro,,,,,0. N.D,,,,,,,,,,,,,12,5.62,5.54,0,0,0,0,2,,2,0,0
D,Antov,Monza,1,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Bakoune,Monza,2,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Missori,,,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
D,Abankwah,Udinese,2,,,0. N.D,,,,,,,,,,,,,2,6.25,6,0,0,0,0,1,,1,0,0
D,Gomes,Venezia,1,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,De Silvestri,Bologna,1,-1,-1,0.4826331654934576,10,6.05,5.95,0,0,0,0,0,,2,0,0,16,5.91,6.06,1,0,0,0,1,,1,0,0
,Raterink,,,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
D,Goldaniga,Como,1,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,30,5.83,5.73,1,0,0,0,10,,10,1,0
D,Rugani,Juventus,1,1,-1,0.4509883347111234,8,5.69,5.56,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,,0,0,0
D,Cabal,Juventus,1,1,1,0.5516935723411338,9,5.94,6.56,2,0,0,0,0,,1,0,0,6,6.33,6.25,0,0,0,0,1,,1,0,0
D,Patric,Lazio,1,-1,-1,0.47133695733861064,10,5.85,5.75,0,0,0,0,0,,2,0,0,8,5.62,5.88,1,0,0,0,2,,2,0,0
,Perez M.,,,1,1,False,1,5,5,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
D,Ndaba,Lecce,2,1,1,0.45801414531092133,9,5.5,5.5,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
D,Marianucci,Napoli,1,-1,-1,0.47538136785814805,11,5.73,5.73,0,0,0,0,1,,2,0,0,13,5.81,5.73,0,0,0,0,0,,0,1,0
D,Mazzocchi,Venezia,1,1,-1,0.46080697972217277,9,5.94,5.94,0,0,0,0,1,,0,1,0,10,5.7,5.65,0,0,0,0,2,,2,0,0
D,Ndiaye,Parma,2,1,1,0.4289664487253355,11,5.59,5.36,0,0,0,0,0,,3,1,0,,,,,,,,,,,,
D,Carboni F.,Parma,1,1,-1,0.44941256043488065,2,6,6,0,0,0,0,0,,0,0,0,5,5.9,5.7,0,0,0,0,2,,2,0,0
D,Ziolkowski,Monza,1,1,1,0.46504095793982825,9,5.94,5.78,0,0,0,0,0,,3,0,0,,,,,,,,,,,,
D,Pieragnolo,Sassuolo,1,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
,Mlacic,,,1,1,False,3,5.83,5.67,0,0,0,0,0,,2,0,0,,,,,,,,,,,,
C,Paz N.,Como,29,1,1,0.9306294106823501,35,6.37,7.3,12,2,0,2,5,,5,0,0,33,6.38,6.95,6,1,0,1,6,,6,0,0
C,McTominay,Napoli,27,-1,-1,0.8839551856922576,33,6.39,7.26,10,1,0,1,2,,1,0,0,34,6.56,7.66,12,0,0,0,3,,3,0,0
C,Calhanoglu,Inter,28,1,1,0.813011695906433,22,6.52,7.64,9,5,4,1,4,,7,0,0,28,6.34,6.89,5,4,3,1,5,,5,0,0
C,Orsolini,Bologna,25,-1,-1,0.8568796548379053,34,6.06,6.76,10,6,4,2,1,,2,0,0,29,6.53,8.19,15,3,3,0,2,,2,0,0
C,Pulisic,Milan,24,-1,-1,0.8213896594933303,27,6.15,7.07,8,1,0,1,4,,0,0,0,34,6.38,7.49,11,4,3,1,1,,1,0,0
C,Rabiot,Milan,23,1,1,0.7124623791139859,29,6.33,6.98,6,0,0,0,4,,4,1,0,,,,,,,,,,,,
C,Baturina,Como,20,1,1,0.7284081425418171,25,6.3,7.14,6,0,0,0,3,,0,0,0,,,,,,,,,,,,
C,Da Cunha,Como,18,1,1,0.8175156142156804,35,6.34,6.91,6,4,4,0,4,,4,0,0,35,6.1,6.36,3,0,0,0,4,,4,0,0
C,Zaniolo,Udinese,18,1,1,0.7149472480438778,31,6.26,6.77,5,0,0,0,5,,8,0,0,18,6.03,6.22,2,0,0,0,6,,6,1,0
C,Atta,Fiorentina,15,1,1,0.7329035034990555,32,6.36,6.88,5,0,0,0,3,,3,0,0,23,6,5.89,0,0,0,0,5,,5,0,0
C,Barella,Inter,18,1,-1,0.7222398554926489,34,6.28,6.71,3,0,0,0,9,,7,0,0,33,6.26,6.65,3,0,0,0,4,,4,0,0
C,McKennie,Juventus,17,1,1,0.7406628119941715,34,6.13,6.68,5,0,0,0,6,,5,0,0,31,5.94,6.18,2,0,0,0,3,,3,0,0
C,Zaccagni,Lazio,16,-1,-1,0.6268025744024728,26,5.88,5.96,3,1,0,1,0,,6,1,0,34,6.28,7.01,8,2,2,0,10,,10,0,0
C,De Bruyne,Napoli,17,1,1,0.7119000357723613,17,6.26,7.24,5,3,3,0,2,,1,0,0,,,,,,,,,,,,
C,Vlasic,Torino,13,-1,1,0.8290517169968574,37,6.03,6.66,8,5,5,0,3,,7,0,0,30,6.07,6.67,5,2,2,0,0,,0,0,0
C,Gudmundsson A.,Lazio,12,-1,-1,0.7254720228928087,32,5.88,6.34,5,3,3,0,3,,4,1,0,21,6.12,6.98,6,2,2,0,2,,2,0,0
C,Taylor K.,Lazio,13,1,1,0.5903449717077414,17,6.06,6.56,3,0,0,0,2,,5,0,0,,,,,,,,,,,,
C,Rodriguez Je.,Como,11,1,1,0.6554952542653865,28,6.25,6.66,2,0,0,0,8,,3,1,0,,,,,,,,,,,,
C,Alajbegovic,Juventus,11,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Ederson D.S.,Atalanta,12,-1,-1,0.6961117387575944,30,6.25,6.43,2,1,1,0,1,,3,0,0,36,6.17,6.49,4,0,0,0,3,,3,1,0
C,Samardzic,Atalanta,13,1,-1,0.5979608580171616,21,5.93,6.29,2,0,0,0,2,,1,0,0,28,6.09,6.25,2,0,0,0,3,,3,0,0
C,Conceicao,Juventus,13,1,-1,0.6929889358724814,30,6.28,6.7,3,0,0,0,5,,3,0,0,25,6.12,6.5,3,0,0,0,3,,3,1,0
C,Modric,Milan,12,1,1,0.6818585868197299,33,6.45,6.67,2,0,0,0,3,,4,0,0,,,,,,,,,,,,
C,Rowe,Atalanta,10,1,1,0.6695893686614315,28,6.2,6.59,3,0,0,0,3,,2,0,0,,,,,,,,,,,,
C,Baldanzi,Genoa,11,1,-1,0.565774618400196,17,6.15,6.38,1,0,0,0,2,,2,0,0,21,6,6.14,1,0,0,0,2,,2,0,0
C,Zambo Anguissa,Napoli,10,-1,-1,0.6322325912694993,18,6.17,6.86,4,0,0,0,1,,1,0,0,35,6.41,6.97,6,0,0,0,5,,5,0,0
C,Perrone,Como,10,1,1,0.6932937516222812,36,6.22,6.47,3,0,0,0,4,,8,0,0,25,5.94,5.94,0,0,0,0,6,,6,0,0
C,Zielinski,Inter,12,1,1,0.7780198248541621,30,6.25,6.8,6,1,1,0,2,,3,0,1,20,5.98,6.32,2,2,2,0,0,,0,0,0
C,Thuram K.,Juventus,9,-1,-1,0.6875714538221914,34,6.1,6.4,3,0,0,0,2,,2,0,0,33,6.3,6.74,4,0,0,0,5,,5,0,0
C,Saelemaekers,Milan,11,-1,-1,0.6891646555279409,35,6.14,6.41,3,0,0,0,3,,5,0,0,22,6.39,7.36,7,0,0,0,5,,5,0,0
C,Politano,Napoli,9,-1,-1,0.6738115698994916,33,6.09,6.36,2,0,0,0,5,,4,0,0,37,6.11,6.42,3,0,0,0,3,,3,0,0
C,Konè M.,Roma,10,1,1,0.6584556700587754,29,6.26,6.53,2,0,0,0,3,,2,0,0,,,,,,,,,,,,
C,Thorstvedt,Sassuolo,10,1,1,0.6726321855291879,31,6.15,6.48,4,0,0,0,3,,9,0,0,,,,,,,,,,,,
C,Casadei,Torino,9,1,1,0.7025409116695314,32,5.97,6.45,6,0,0,0,0,,5,0,0,15,6.03,6.27,1,0,0,0,1,,1,0,0
C,Ekkelenkamp,Udinese,12,1,1,0.7182059374659631,31,6.05,6.61,5,0,0,0,3,,1,0,0,33,5.97,6.27,3,0,0,0,2,,2,0,0
C,Cancellieri,Lazio,9,1,1,0.6447235982009543,28,5.93,6.29,4,0,0,0,1,,6,0,0,25,5.76,6.04,3,0,0,0,2,,2,1,0
C,Pasalic,Atalanta,8,1,-1,0.6654549903007286,31,5.94,6.27,3,0,0,0,3,,3,0,0,33,5.91,6.14,3,1,0,1,1,,1,0,0
C,Bernardeschi,Bologna,10,1,1,0.7003831038479077,24,6.04,6.56,4,1,1,0,2,,3,0,0,,,,,,,,,,,,
C,Mandragora,Torino,8,-1,1,0.7902996491378342,34,6.04,6.62,7,1,1,0,2,,7,0,0,27,6.19,6.67,4,1,1,0,7,,7,0,0
C,Isaksen,Lazio,9,1,1,0.6898304350904995,27,6.04,6.63,5,0,0,0,1,,0,0,0,37,6.05,6.34,4,0,0,0,5,,5,0,0
C,Konè I.,Sassuolo,8,1,1,0.7119337506390845,35,6.19,6.63,6,0,0,0,0,,3,1,0,,,,,,,,,,,,
C,Cambiaghi,Bologna,8,-1,1,0.6143221360288376,24,5.98,6.42,3,0,0,0,4,,3,1,0,17,6.15,6.5,1,0,0,0,0,,0,0,0
C,Colpani,Monza,9,,,0. N.D,,,,,,,,,,,,,24,5.81,6.04,2,0,0,0,1,,1,0,0
C,Odgaard,Bologna,8,-1,-1,0.6554319267746129,22,5.91,6.61,5,0,0,0,1,,1,0,0,28,6.14,6.84,6,0,0,0,1,,1,0,0
C,Fagioli,Fiorentina,7,1,1,0.6538853980581494,33,6.03,6.23,2,0,0,0,3,,5,0,0,24,5.92,6.04,1,0,0,0,4,,4,0,0
C,Ndour,Fiorentina,7,1,1,0.6375665136889055,30,5.8,6.07,3,0,0,0,0,,2,0,0,7,5.71,5.64,0,0,0,0,1,,1,0,0
C,Diouf,Inter,9,1,1,0.5232252913303399,10,6.15,6.45,1,0,0,0,0,,1,0,0,,,,,,,,,,,,
C,Sucic P.,Inter,9,1,1,0.6242881673127884,28,6.07,6.27,2,0,0,0,2,,5,0,0,,,,,,,,,,,,
C,Locatelli,Juventus,9,-1,-1,0.6891750295395017,36,6.26,6.19,1,1,0,1,2,,9,0,0,35,6.19,6.26,2,1,1,0,9,,9,0,0
C,Vergara,Napoli,10,1,1,0.5135039321555745,8,6.25,6.5,1,0,0,0,0,,2,0,0,,,,,,,,,,,,
C,Cristante,Roma,9,-1,-1,0.6624476975799063,37,6.11,6.22,2,0,0,0,1,,6,0,0,28,6.2,6.59,4,0,0,0,8,,8,0,0
C,Calò,Frosinone,8,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Pessina,Monza,6,,,0. N.D,,,,,,,,,,,,,11,6.09,6,0,0,0,0,2,,2,0,0
C,Unai Gomez,Udinese,7,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Gaetano,Atalanta,7,-1,-1,0.6607637105268659,32,6.06,6.31,2,0,0,0,4,,4,0,0,27,6.04,6.41,2,0,0,0,0,,0,0,0
C,Ferguson,Bologna,7,-1,-1,0.5240851663414793,23,5.8,5.78,1,0,0,0,0,,5,1,0,14,6.11,6.39,1,1,1,0,0,,0,0,0
C,Fazzini,Cagliari,6,-1,-1,0.4890009368006146,12,5.88,5.83,0,0,0,0,0,,2,0,0,20,6.42,6.98,4,0,0,0,2,,2,1,0
C,Frendrup,Genoa,7,-1,-1,0.6273880164227098,36,5.96,5.97,1,0,0,0,0,,5,0,0,35,6,6.04,2,0,0,0,5,,5,0,1
C,Frattesi,Lazio,10,-1,-1,0.5085475388274754,14,5.89,5.89,0,0,0,0,0,,0,0,0,23,6.02,6.72,5,0,0,0,1,,1,0,0
C,Lobotka,Napoli,8,1,1,0.6143789616494583,31,6.05,6.1,1,0,0,0,0,,3,0,0,31,6.05,6.03,0,0,0,0,3,,3,0,0
C,Bernabè,Parma,7,1,1,0.6828739197215193,32,6.17,6.48,3,0,0,0,1,,0,0,0,,,,,,,,,,,,
C,Volpato,Sassuolo,9,1,1,0.6108203436137749,21,6.14,6.52,2,0,0,0,4,,4,0,0,,,,,,,,,,,,
C,Oristanio,Torino,6,-1,-1,0.5401065156869627,18,5.78,5.92,1,0,0,0,0,,1,0,0,37,6.05,6.34,3,0,0,0,3,,3,0,0
C,Winks,Cagliari,6,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Liberali,Como,6,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,1,6,6,0,0,0,0,0,,0,0,0
C,Oulai,Fiorentina,6,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Chukwueze,Milan,8,-1,-1,0.41795387192807765,1,5.5,5.5,0,0,0,0,0,,0,0,0,16,6.09,6.78,3,0,0,0,0,,0,0,0
C,Zalewski,Atalanta,7,1,1,0.6682105515665523,31,6.1,6.4,2,0,0,0,5,,3,0,0,19,6.03,6.21,1,0,0,0,3,,3,0,0
C,Pobega,Bologna,6,-1,1,0.5848180104271965,23,5.83,6.17,3,0,0,0,1,,2,1,0,20,6.05,6.25,2,0,0,0,4,,4,2,0
C,Adopo,Cagliari,7,-1,-1,0.6406975653354096,38,5.83,5.88,1,0,0,0,1,,4,0,0,34,5.87,5.91,1,0,0,0,3,,3,1,0
C,Caqueret,Como,6,-1,-1,0.647434050897756,28,6.11,6.41,2,0,0,0,4,,3,0,0,16,6.34,6.78,2,0,0,0,4,,4,0,0
C,Ellertsson,Genoa,6,-1,-1,0.6117144661458785,35,5.84,5.91,1,0,0,0,1,,1,1,0,35,6.01,6.21,2,0,0,0,2,,2,0,0
C,Zhegrova,Juventus,6,1,1,0.4984294944633611,12,5.96,5.96,0,0,0,0,0,,1,0,0,,,,,,,,,,,,
C,Rovella,Lazio,7,-1,-1,0.45471828547803955,11,5.73,5.64,0,0,0,0,1,,2,1,0,33,6.11,6,0,0,0,0,13,,13,0,0
C,Coulibaly L.,Lecce,7,1,1,0.6651965597459211,33,6.05,6.29,3,0,0,0,1,,4,0,0,37,5.96,6,1,0,0,0,3,,3,0,0
C,Pierotti,Lecce,6,-1,-1,0.6337288217277636,37,5.8,5.85,1,0,0,0,1,,4,0,0,35,5.81,6.1,4,0,0,0,4,,4,1,0
C,Akinsanmiro,Monza,7,1,1,0.5492119011540779,23,5.8,5.8,0,0,0,0,1,,2,0,0,,,,,,,,,,,,
C,Nicolussi Caviglia,Parma,6,-1,-1,0.5672556091778714,23,5.89,6.02,0,0,0,0,4,,4,0,0,35,6.2,6.53,4,0,0,0,5,,5,1,0
C,Karlstrom,Udinese,7,1,1,0.6235548077465692,36,5.96,5.96,1,0,0,0,0,,6,0,0,37,5.85,5.78,0,0,0,0,9,,9,0,0
C,Basic,Venezia,6,1,1,0.6011870548597107,23,6.09,6.43,2,0,0,0,3,,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
C,Amondarain,Bologna,5,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Romano,Cagliari,7,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Milla,Como,6,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Addai,Como,4,1,1,0.5528984548223739,12,5.96,6.54,3,0,0,0,0,,4,0,0,,,,,,,,,,,,
C,Meichtry,Genoa,5,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Traorè Hj.,Genoa,4,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Cacciamani,Torino,6,,,0. N.D,,,,,,,,,,,,,1,6,6,0,0,0,0,0,,0,0,0
C,Busio,Venezia,5,,,0. N.D,,,,,,,,,,,,,31,5.9,6.03,2,0,0,0,4,,4,0,0
C,Perez K.,Venezia,5,,,0. N.D,,,,,,,,,,,,,16,6.03,6.16,1,0,0,0,4,,4,0,0
C,Felici,Cagliari,5,1,1,0.5431181306889855,11,6.05,6.55,2,0,0,0,1,,3,0,0,18,5.83,5.97,0,0,0,0,1,,1,0,0
C,Zerbin,Frosinone,6,-1,-1,0.5848576301083119,29,5.76,5.79,0,0,0,0,2,,2,0,0,18,6,6.11,1,0,0,0,4,,4,0,0
C,Mkhitaryan,Inter,4,1,1,0.6647373869689589,28,6.21,6.59,4,0,0,0,1,,5,0,0,32,6.06,6.25,1,0,0,0,4,,4,0,0
C,Koopmeiners,Juventus,7,-1,-1,0.553068529174734,29,5.64,5.55,0,0,0,0,0,,5,0,0,28,5.98,6.39,3,0,0,0,3,,3,0,0
C,Dele-Bashiru,Lazio,5,-1,-1,0.5543506608038743,21,5.69,5.83,1,0,0,0,0,,0,0,0,17,6.06,6.65,3,0,0,0,0,,0,0,0
C,Berisha M.,Lecce,4,1,1,0.5835735308785567,12,6.17,6.92,2,0,0,0,3,,0,0,0,14,6.07,5.96,0,0,0,0,5,,5,0,0
C,Gandelman,Lecce,4,1,1,0.5740292966809255,16,5.97,6.41,2,0,0,0,1,,0,0,0,,,,,,,,,,,,
,Fofana Y.,,,-1,1,False,33,5.85,6.06,2,0,0,0,3,,4,0,0,34,6.03,6.22,1,0,0,0,5,,5,0,0
C,Keita M.,Parma,5,1,1,0.6511190495376764,36,6.01,6.06,1,0,0,0,1,,1,0,1,28,5.73,5.66,0,0,0,0,4,,4,1,0
,Ondrejka,,,-1,-1,False,15,5.7,5.63,0,0,0,0,0,,2,0,0,10,6.35,7.85,5,0,0,0,0,,0,0,0
C,Pisilli,Roma,7,1,-1,0.6170740673298039,22,6.09,6.48,2,0,0,0,4,,3,0,0,24,5.98,6.12,2,0,0,0,7,,7,0,0
C,Matic,Sassuolo,6,1,1,0.5935840475126511,34,5.96,5.96,1,0,0,0,1,,6,1,0,,,,,,,,,,,,
C,Adzic,Sassuolo,6,1,1,0.5055540716371921,4,6.12,6.88,1,0,0,0,0,,0,0,0,1,6,6,0,0,0,0,0,,0,0,0
C,Bakola,Sassuolo,6,1,1,0.466571601972522,3,6.17,6.17,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
C,Gineitis,Torino,5,-1,-1,0.5619592663872554,27,5.87,5.81,0,0,0,0,1,,5,0,0,28,5.95,6.21,3,0,0,0,5,,5,0,0
C,Piotrowski,Udinese,6,1,1,0.603545806829089,30,5.88,5.95,1,0,0,0,0,,2,0,0,,,,,,,,,,,,
C,Sohm,Venezia,5,-1,-1,0.5415903615987046,24,5.65,5.62,0,0,0,0,1,,3,0,0,37,6.03,6.26,4,0,0,0,7,,7,0,0
C,Cichella,Frosinone,4,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Koutsoupias,Frosinone,4,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Douglas Luiz,Juventus,4,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,15,5.87,5.8,0,0,0,0,2,,2,0,0
C,Almqvist,Parma,4,1,-1,0.49377130902073973,9,5.94,6.06,0,0,0,0,1,,0,0,0,26,5.79,5.85,1,0,0,0,5,,5,0,0
C,Fitz-Jim,Torino,5,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Njie,Fiorentina,4,-1,-1,0.4833434544347571,9,6,5.94,0,0,0,0,0,,1,0,0,9,6,5.94,0,0,0,0,1,,1,0,0
C,De Roon,Roma,4,-1,-1,0.6004934719533125,34,5.97,6,1,0,0,0,2,,6,1,0,36,6.15,6.53,4,0,0,0,5,,5,0,0
C,Moro N.,Bologna,4,1,1,0.6192415903891035,28,5.93,6.12,2,0,0,0,0,,1,0,0,16,6,6.03,0,0,0,0,1,,1,0,0
,Prati,,,1,1,False,32,5.88,5.88,1,0,0,0,0,,6,0,0,10,5.85,5.8,0,0,0,0,1,,1,0,0
C,Fabbian,Parma,4,-1,-1,0.5782710236549199,22,5.8,6.05,2,0,0,0,0,,2,0,0,22,6.09,6.48,3,0,0,0,2,,2,0,0
C,Amorim,Genoa,4,1,1,0.4676864345523173,9,5.72,5.67,0,0,0,0,0,,1,0,0,,,,,,,,,,,,
C,Luis Henrique,Inter,5,1,1,0.6056252024455082,27,5.89,6.06,1,0,0,0,2,,1,0,0,,,,,,,,,,,,
C,Cataldi,Lazio,4,1,-1,0.691340724534814,27,6.07,6.41,3,2,2,0,3,,6,0,0,24,6.04,6.4,3,0,0,0,1,,1,0,0
C,Ngom,Lecce,4,1,1,0.4872952605230676,13,5.69,5.65,0,0,0,0,0,,1,0,0,,,,,,,,,,,,
C,Ricci S.,Como,4,1,-1,0.6158166531383225,28,6,6.18,1,0,0,0,3,,3,0,0,34,6.06,6.03,1,0,0,0,8,,8,1,0
C,Jashari,Milan,5,1,1,0.49543750515379875,12,5.71,5.79,0,0,0,0,1,,0,0,0,,,,,,,,,,,,
C,Loftus-Cheek,Milan,4,1,1,0.6167362068916014,21,6.1,6.52,3,0,0,0,1,,2,0,0,18,5.86,5.78,0,0,0,0,3,,3,0,0
C,Folorunsho,Monza,4,1,1,0.6073026715280155,26,6.04,6.21,2,0,0,0,0,,3,0,0,13,5.96,5.77,0,0,0,0,5,,5,0,0
,El Aynaoui,,,1,1,False,21,5.98,6.1,1,0,0,0,2,,5,0,0,,,,,,,,,,,,
C,Ilkhan,Torino,4,1,1,0.5207042750346353,17,5.82,6,1,0,0,0,2,,2,1,0,,,,,,,,,,,,
C,Dominguez B.,Sassuolo,4,-1,-1,0.5132026719063745,12,5.83,6.04,0,0,0,0,3,,1,0,0,20,6.28,6.82,3,0,0,0,0,,0,0,0
C,Gelli F.,Frosinone,3,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Fini ,Frosinone,4,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Stankovic A.,Inter,3,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Colombo L.,Monza,3,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Diallo O.,Parma,3,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Aboukhlal,Torino,3,1,1,0.4682468666446574,11,5.77,5.64,0,0,0,0,0,,4,0,0,,,,,,,,,,,,
C,Sulemana I.,Sassuolo,3,-1,-1,0.5265380008818179,18,5.69,5.78,1,0,0,0,0,,3,0,0,6,6.17,7.08,2,0,0,0,1,,1,0,0
C,Deiola,Cagliari,3,-1,-1,0.5392991728617575,20,5.98,5.95,0,0,0,0,1,,3,0,0,25,5.98,6.14,2,0,0,0,6,,6,0,0
C,Brescianini,Fiorentina,3,-1,-1,0.5747949542804216,18,5.97,6.31,2,0,0,0,1,,2,0,0,23,6.13,6.72,4,0,0,0,1,,1,0,0
C,Messias,Genoa,4,1,1,0.6664237890790103,19,6.18,6.68,3,1,1,0,1,,1,0,0,16,6,6.03,1,1,0,1,1,,1,0,0
,Miretti,,,-1,-1,False,15,5.97,6.2,1,0,0,0,1,,1,0,0,25,5.98,6.42,3,0,0,0,2,,2,0,0
C,Gilmour,Napoli,3,1,1,0.5321554838659299,13,6.08,6.27,1,0,0,0,0,,1,0,0,17,6,6.06,0,0,0,0,0,,0,0,0
,Sorensen O.,,,1,1,False,30,5.85,5.95,1,0,0,0,1,,2,0,0,,,,,,,,,,,,
C,Miller L.,Udinese,4,1,1,0.5341796511536017,19,5.92,5.95,0,0,0,0,2,,4,0,0,,,,,,,,,,,,
C,Helgason,Venezia,3,-1,-1,0.44056568846392474,4,5.62,5.62,0,0,0,0,0,,0,0,0,17,6.03,6.26,0,0,0,0,0,,0,0,0
C,El Azzouzi O.,Bologna,2,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
C,Hasa,Frosinone,2,,,0. N.D,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0
C,Ciurria,Monza,2,,,0. N.D,,,,,,,,,,,,,17,5.79,6,1,0,0,0,1,,1,0,0
