ruolo,nome,squadra,qt_a,rating_fv,s1_pg,s1_mv,s1_mf,s1_gf,s1_gs,s1_rp,s1_rc,s1_rpiu,s1_rmeno,s1_ass,s1_asf,s1_amm,s1_esp,s1_au,s2_pg,s2_mv,s2_mf,s2_gf,s2_gs,s2_rp,s2_rc,s2_rpiu,s2_rmeno,s2_ass,s2_asf,s2_amm,s2_esp,s2_au
P,Fruchtl,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,0,0,0,,0,,,,,,,0,0,0
P,Samooja,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,0,0,0,,0,,,,,,,0,0,0
P,Terracciano,Milan,1,0.7776417004048584,2,6,6,,0,,,,,,,0,0,0,3,6.17,5.17,,3,,,,,,,0,0,0
P,Torriani,Milan,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,0,0,0,,0,,,,,,,0,0,0
P,Contini,Napoli,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,0,0,0,,0,,,,,,,0,0,0
P,Rinaldi,,,0.809884370015949,1,7,6.5,,0,,,,,,,1,0,0,0,0,0,,0,,,,,,,0,0,0
P,Nicolas,,,0.673099460188934,6,5.92,3.58,,14,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Scuffet,,,0.6976728744939272,7,6.21,4.07,,15,,,,,,,0,0,0,14,5.89,4.18,,24,,,,,,,0,0,0
P,Zelezny,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Gollini,Roma,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,7,5.86,4.07,,15,,,,,,,1,0,0
P,Russo A.,Sassuolo,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Satalino,Sassuolo,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Donnarumma An.,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,0,0,0,,0,,,,,,,0,0,0
P,Israel,,,0.6772357870199976,9,5.89,3.83,,18,,,,,,,1,0,0,,,,,,,,,,,,,,0
P,Popa,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,0,0,0,,0,,,,,,,0,0,0
P,Padelli,Udinese,1,0.7542314439946021,2,6.25,5.25,,2,,,,,,,0,0,0,1,6.5,6.5,,0,,,,,,,0,0,0
P,Sava,,,0.6620222917433445,7,5.57,3.5,,14,,,,,,,1,0,0,12,6.04,4.67,,16,,,,,,,1,0,0
P,Perilli,,,0.6961689608636978,3,6.17,3.83,,7,,,,,,,0,0,0,2,6,5,,2,,,,,,,0,0,0
P,Vasquez D.,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,32,6.02,4.67,,45,,,,,,,2,0,0
P,Nunziante,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Lezzerini,Fiorentina,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Silvestri,,,0.731339811066127,4,6.38,4.62,,7,,,,,,,0,0,0,5,5.7,3.5,,11,,,,,,,0,0,0
P,Toniolo,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Cavlina,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Ferrante,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Calligaris,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,0,0,0,,0,,,,,,,0,0,0
P,Tornqvist,Monza,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Sherri,Cagliari,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,7,5.86,4.29,,11,,,,,,,0,0,0
P,Siviero,Torino,1,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Pannozzo,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Giacomone,,,0. N.D.,0,0,0,,0,,,,,,,0,0,0,,,,,,,,,,,,,,0
