id,titolarita,quota_minuti_2025_26,ballottaggio_con,rigorista,fonte_rigorista,calci_piazzati,corner,stato,rientro_stimato,fascia,nota_listone,consiglio_sos,accoppiata
4461,,0.463,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
4463,,0.804,,2,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Affidabile,Scommessa,Inter Parma Bologna
4465,,0.757,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Cartellini,Bonus,Cagliari Como Lazio
4468,,,,,,,,,,R,,,Parma Bologna Fiorentina
4479,,0.524,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Bonus,Subentrante,"Frosinone, Bologna Cagliari"
4485,,,,,,,,,,R,Scommessa,,Lecce Venezia Atalanta
4502,,0.896,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Titolare,Bonus,Parma Bologna Fiorentina
4510,,0.548,,2,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
4518,,,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Inter Parma Bologna
4657,,0.803,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Mod.,Jolly,Torino Genoa Roma
4664,,,,,,,,,,jolly,Scommessa,,Roma Bologna Frosinone
4686,,0.652,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
4705,,,,,,,,,,jolly,Scommessa,,Lazio Napoli Juventus
4728,,0.393,,1,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
4734,,0.753,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Bonus,Mod.,Atalanta Lecce Napoli
4751,,0.752,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Infortuni,Mod.,Inter Parma Cagliari
4772,,0.125,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
4777,,0.818,,2,derivato_da_rigori_calciati_2025-26,,,,,Top,Affidabile,Bonus,Roma Bologna Frosinone
4807,,0.616,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Cartellini,Mod.,Lazio Napoli Juventus
4817,,,,,,,,,,Quarta,Scommessa,Jolly,Roma Genoa Torino
4845,,,,,,,,,,jolly,Scommessa,,Cagliari Monza Bologna
4856,,0.007,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Bonus,Subentrante,Inter Parma Cagliari
4867,,0.156,,0,derivato_da_rigori_calciati_2025-26,,,,,R,Mod.,Infortuni,Inter Parma Bologna
4870,,0.899,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,,,Atalanta Fiorentina Venezia
4871,,0.565,,0,derivato_da_rigori_calciati_2025-26,,,,,Top,Affidabile,Titolare,Milan Sassuolo Juventus
4887,,0.402,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Bonus,Mod.,Frosinone Bologna Cagliari
4892,,0.824,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Infortuni,Affidabile,Inter Parma Cagliari
4896,,0.276,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Bonus,Infortuni,Atalanta Fiorentina Venezia
4911,,,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,,Torino Genoa Roma
4923,,,,2,derivato_da_rigori_calciati_2025-26,,,,,Terza,Rigorista,Titolare,Juventus Bologna Como
4925,,,,,,,,,,titolare,Bonus,Infortuni,Lecce Venezia Atalanta
4929,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
4947,,0.298,,0,derivato_da_rigori_calciati_2025-26,,,,,,Subentrante,Affidabile,Cagliari Como Lazio
4952,,,,,,,,,,titolare,,,Atalanta Como Napoli
4957,,0.921,,0,derivato_da_rigori_calciati_2025-26,,,,,R,mod.,jolly,Cagliari Monza Bologna
4964,,,,,,,,,,0° TOP B,titolare,mod.,Torino Genoa Roma
4970,,0.192,,2,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Subentrante,Scommessa,Juventus Bologna Como
4973,,0.835,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Affidabile,Bonus,Torino Genoa Roma
4976,,0.959,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Mod.,Titolare,Torino Genoa Roma
4994,,0.468,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Bonus,Mod.,Genoa Lecce Milan
4998,,,,,,,,,,Top,Titolare,Bonus,Lazio Napoli Juventus
5007,,0.121,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,Affidabile,Infortuni,Parma Bologna Fiorentina
5010,,0.558,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Infortuni,Mod.,Juventus Lazio Lecce
5022,,0.841,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Mod.,Bonus,Inter Parma Cagliari
5029,,,,,,,,,,Quarta,Scommessa,Rigorista,Parma Bologna Fiorentina
5036,,0.437,,0,derivato_da_rigori_calciati_2025-26,,,,,,Scommessa,Bonus,Fiorentina Frosinone Genoa
5116,,0.132,,0,derivato_da_rigori_calciati_2025-26,,,,,0° TOP B,Mod.,Imbattibilità,Milan Sassuolo Juventus
5119,,0.294,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Bonus,Affidabile,"Frosinone, Bologna Cagliari"
5131,,0.233,,0,derivato_da_rigori_calciati_2025-26,,,,,,Subentrante,Affidabile,Roma Bologna Frosinone
5172,,,,,,,,,,Scomm.,Scommessa,Bonus,Milan Sassuolo Juventus
5273,,0.306,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Inaffidabile,Jolly,Inter Parma Cagliari
5295,,0.182,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Scommessa,,Inter Parma Cagliari
5298,,0.423,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,Infortuni,,Atalanta Lecce Napoli
5301,,0.473,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,Bonus,Milan Sassuolo Juventus
5307,,0.659,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Titolare,Infortuni,Lecce Sassuolo Milan
5319,,0.423,,0,derivato_da_rigori_calciati_2025-26,,,,,,Bonus,Subentrante,Cagliari Monza Bologna
5320,,0.763,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Juventus Lazio Lecce
