id,stagione,squadra,partite,minuti,gol,assist,xg,npxg,xa,tiri,passaggi_chiave,xg_chain,xg_buildup,posizione_fonte
5022,2025-26,Milan,34,2876,5,1,3.9109,3.9109,0.7155,26,15,12.9166,10.8924,D S
5036,2024-25,Como,18,1110,2,3,0.7745,0.7745,2.1084,8,19,5.4499,3.5102,M S
5036,2025-26,Como,30,1493,2,6,1.7355,1.7355,2.78,18,26,10.6714,7.4382,M S
5116,2023-24,Genoa,36,3240,0,0,0.0,0.0,0.0194,0,1,2.7372,2.7178,GK
5116,2024-25,Inter,5,450,0,0,0.0,0.0,0.0644,0,1,0.9504,0.886,GK
5116,2025-26,Inter,5,450,0,0,0.0,0.0,0.0,0,0,1.1353,1.1353,GK
5119,2023-24,Udinese,34,2393,6,2,3.7649,3.0036,5.8428,57,61,7.7469,5.5263,M S
5119,2024-25,Atalanta,31,1119,2,1,1.9263,1.9263,3.3171,33,35,8.1272,4.7407,M S
5119,2025-26,Atalanta,26,1005,2,1,2.7764,2.7764,2.3769,25,28,8.5507,4.5451,M S
5131,2024-25,Napoli,26,1161,0,1,0.627,0.627,1.504,9,21,8.0016,6.5646,M S
5131,2025-26,Napoli,17,798,1,0,0.572,0.572,0.4836,10,6,4.1984,3.3647,M S
5273,2025-26,Milan,19,1045,1,1,0.4772,0.4772,1.5814,9,13,7.5274,6.9204,D S
5295,2023-24,Milan,30,1439,0,2,0.6487,0.6487,1.5079,14,14,5.7279,3.9547,D M S
5295,2024-25,Milan,29,1561,0,2,2.6011,2.6011,2.0416,22,23,9.6095,7.5496,D F M S
5295,2025-26,Atalanta | Milan,20,623,1,0,0.7453,0.7453,0.7338,7,4,4.7116,3.2702,D M S
5298,2023-24,Milan,11,298,0,0,0.3183,0.3183,0.2568,5,1,2.4861,2.0225,D M S
5298,2024-25,Bologna,21,1180,2,2,2.5043,2.5043,1.3731,24,11,5.3084,3.1972,M S
5298,2025-26,Bologna,26,1446,3,1,1.8405,1.8405,0.551,25,6,5.3181,3.3508,M S
5301,2025-26,Inter,30,1617,1,2,1.152,1.152,2.1901,15,22,8.6392,5.7536,D S
5307,2024-25,Parma,20,1559,1,0,0.1997,0.1997,0.147,7,4,3.4622,3.3513,D S
5307,2025-26,Parma,27,2255,0,0,0.487,0.487,1.166,17,10,5.1886,4.2814,D S
5319,2024-25,Parma,37,3015,4,0,4.3499,4.3499,2.6309,34,20,15.7203,9.8046,M S
5319,2025-26,Bologna | Fiorentina,28,1447,0,1,0.7936,0.7936,2.0447,9,15,4.9743,3.7022,M S
5320,2024-25,Torino,1,90,0,0,0.0,0.0,0.0,0,0,0.0,0.0,GK
5320,2025-26,Torino,29,2610,0,0,0.0,0.0,0.0,0,0,1.6754,1.6754,GK
5336,2023-24,Fiorentina,33,1526,3,3,4.3406,3.5793,1.8532,32,21,5.8305,1.8985,F M S
5336,2025-26,Pisa | Sassuolo,30,1514,4,1,7.3171,5.0332,1.2388,39,20,7.4412,1.6972,F S
5365,2023-24,Genoa,19,1710,2,1,1.2186,1.2186,0.9098,17,7,2.6907,1.7259,D
5422,2023-24,Roma,22,976,0,1,1.106,1.106,1.9128,16,17,5.1366,3.1167,D F S
5422,2024-25,Inter | Roma,23,963,1,1,0.4306,0.4306,3.0763,10,21,6.6064,3.702,D M S
5422,2025-26,Atalanta,33,1917,2,4,3.1388,3.1388,5.1435,38,36,10.349,5.9626,D M S
5427,2025-26,Napoli,28,1478,1,1,0.5719,0.5719,1.7834,15,20,8.1692,7.4021,D S
5436,2024-25,Venezia,9,71,0,0,0.5108,0.5108,0.1056,1,1,0.6164,0.0,S
5449,2023-24,Fiorentina,21,1451,0,1,1.1006,1.1006,2.1931,12,16,9.4319,7.1889,D S
5449,2024-25,Fiorentina,26,1107,2,0,0.4368,0.4368,1.036,9,4,3.2318,1.7779,D M S
5449,2025-26,Fiorentina,23,1550,1,1,1.3022,1.3022,1.9189,24,19,6.7882,4.4645,D F M S
5453,2023-24,Torino,32,2425,1,2,1.2501,1.2501,2.9166,30,26,9.49,6.5076,M S
5453,2024-25,Torino,34,2863,1,1,1.2636,1.2636,0.6733,22,15,6.6811,4.9345,M
5453,2025-26,Milan,31,1273,1,4,2.1062,2.1062,2.7816,18,20,8.7488,5.3244,M S
5457,2023-24,Empoli,34,2639,0,1,0.9273,0.9273,2.161,18,34,6.2818,3.8272,M S
5457,2024-25,Empoli,22,1524,0,1,0.9959,0.9959,0.9007,17,12,3.46,2.3958,M S
5457,2025-26,Cremonese | Lecce,23,1574,1,0,1.2885,1.2885,0.6453,22,9,2.9693,1.8251,M S
5481,2023-24,Napoli | Salernitana,28,1730,0,2,0.3392,0.3392,1.4283,13,17,3.6569,2.8753,D S
5481,2024-25,Napoli,20,691,0,0,0.3297,0.3297,0.4411,3,5,2.2415,1.5481,D S
5481,2025-26,Napoli,16,288,0,1,0.0465,0.0465,1.1448,2,4,2.0701,1.4018,D S
5485,2024-25,Venezia,9,153,0,0,0.0,0.0,0.0505,0,1,0.0683,0.0683,D S
5498,2023-24,Lazio,20,1559,0,0,0.9764,0.9764,0.0759,7,2,4.4984,4.311,D S
5498,2024-25,Bologna | Lazio,17,1036,0,1,0.2746,0.2746,0.4304,5,3,2.3872,2.0312,D S
5498,2025-26,Bologna,12,672,0,0,0.7464,0.7464,0.2049,5,4,1.794,1.7077,D S
5500,2023-24,Empoli,36,1772,4,2,5.7523,5.7523,3.4372,40,17,8.5708,1.7997,D F M S
5500,2024-25,Parma,27,1453,3,0,2.5087,2.5087,0.5386,22,10,3.8869,1.2166,F M S
5500,2025-26,Lazio,30,1740,4,3,5.2176,5.2176,1.9236,41,18,8.6503,1.8232,F M S
5504,2023-24,Salernitana,28,2096,0,1,0.4365,0.4365,0.9734,13,11,5.6519,5.2968,M S
5504,2024-25,Lecce,38,2687,1,0,1.2991,1.2991,1.0492,9,12,7.3479,5.1728,M S
5504,2025-26,Lecce,33,2708,3,1,3.2001,3.2001,1.1774,28,20,7.5888,4.8551,M S
5507,2024-25,Venezia,33,2537,2,0,2.8547,2.8547,1.6146,36,28,6.5052,2.8292,F M S
5514,2023-24,Genoa,37,2843,1,1,2.0767,2.0767,0.9381,34,11,5.8108,4.7087,D M S
5514,2024-25,Genoa,36,3036,3,0,2.4397,2.4397,0.3346,36,7,5.9033,5.4866,D S
5514,2025-26,Genoa,36,3219,1,0,1.8855,1.8855,0.465,24,9,6.4928,6.2094,D
5520,2023-24,Juventus,34,2410,2,3,3.4013,3.4013,3.7686,29,37,10.5511,6.4221,D F M S
5520,2024-25,Juventus,33,2227,2,3,0.9298,0.9298,2.9846,17,34,13.4966,11.9343,D F M S
5520,2025-26,Juventus,36,2846,3,4,2.895,2.895,6.8481,26,56,19.0103,13.3885,D M S
5526,2023-24,Atalanta,33,2579,1,3,1.3214,1.3214,1.2767,19,10,11.5708,10.1045,D M S
5526,2024-25,Atalanta,6,284,0,0,0.0859,0.0859,0.0,4,0,0.0639,0.0224,D S
5526,2025-26,Atalanta,24,1841,3,1,3.8606,3.8606,1.5809,20,14,12.3499,10.117,D S
5527,2023-24,Napoli | Salernitana,21,963,0,2,0.2113,0.2113,1.4767,3,12,3.1347,1.9626,D S
5527,2024-25,Genoa,31,1716,1,0,0.6539,0.6539,1.1977,11,19,3.9356,2.3123,D M S
5527,2025-26,Udinese,19,1314,1,2,0.1,0.1,1.5539,3,15,3.5436,2.38,D M S
5544,2025-26,Juventus,35,1784,6,4,11.4643,10.703,4.2323,41,33,14.403,4.1256,F S
5555,2023-24,Udinese,35,2285,1,1,2.5372,2.5372,2.913,26,21,10.3858,6.2736,D S
5555,2024-25,Udinese,30,2020,1,4,0.7477,0.7477,3.2552,17,25,5.0709,3.5145,D M S
5555,2025-26,Udinese,26,1883,0,2,0.8898,0.8898,2.5138,16,23,6.3781,4.1133,D M S
5559,2024-25,Como,36,2639,3,2,1.581,1.581,4.599,37,54,11.007,8.9874,M S
5559,2025-26,Como,36,2765,6,4,6.9264,3.8812,6.0216,42,45,17.4915,12.7136,M S
5562,2024-25,Juventus,35,2331,4,5,3.5313,3.5313,4.6821,36,25,15.0609,9.894,M S
5562,2025-26,Juventus,35,2481,3,3,4.0633,4.0633,2.6531,50,25,12.7745,8.5267,M S
5578,2024-25,Atalanta,18,1126,0,0,1.09,1.09,0.0669,6,1,5.1605,4.8586,D S
5578,2025-26,Atalanta,19,981,1,0,0.2642,0.2642,0.2572,5,4,4.143,3.8508,D S
5585,2025-26,Roma,18,1499,14,2,15.2047,12.1595,1.5484,70,8,14.9105,3.8561,F
5589,2024-25,Roma,34,2597,2,1,2.9577,2.9577,1.7725,34,19,14.168,11.8415,M S
5589,2025-26,Roma,29,2468,2,3,1.9377,1.9377,3.4995,21,25,14.5203,10.8695,M S
5603,2023-24,Lecce,36,3220,0,0,1.301,1.301,0.4592,13,11,7.1054,6.5912,D
5603,2024-25,Fiorentina,20,1380,0,0,0.0933,0.0933,0.445,3,5,3.3791,3.2754,D S
5603,2025-26,Fiorentina,35,2923,0,0,0.593,0.593,0.6889,8,8,6.7989,6.3975,D S
5620,2024-25,Lazio,23,1725,0,8,1.5731,1.5731,6.4471,28,34,9.1602,5.098,D S
5620,2025-26,Lazio,23,1478,0,0,1.1278,1.1278,1.183,16,20,5.689,4.4115,D S
5637,2023-24,Udinese,8,160,1,0,0.5509,0.5509,0.0649,6,3,0.8542,0.2383,S
5637,2024-25,Udinese,23,1049,2,1,3.0698,3.0698,2.451,29,20,5.5032,1.1153,F S
5637,2025-26,Udinese,30,2106,10,4,9.8901,6.8449,4.3277,50,31,13.4253,5.1648,F S
5672,2023-24,Salernitana,17,1134,4,0,4.5979,3.8366,0.5253,29,10,4.8021,0.8396,F M S
5672,2024-25,Lazio,35,2220,9,3,6.8993,6.8993,4.6098,39,26,14.7047,6.0498,F M S
5672,2025-26,Lazio,27,1257,1,2,2.6982,2.6982,1.7122,12,15,5.3527,2.558,F M S
5674,2023-24,Salernitana,15,1172,0,0,0.4445,0.4445,0.418,12,16,2.6648,2.299,M S
5674,2025-26,Lazio,23,1764,2,3,1.305,1.305,2.4126,30,22,6.4265,4.7051,M
5678,2023-24,Atalanta,22,956,1,1,3.3515,3.3515,1.2132,26,4,5.2548,3.0256,D M S
5678,2024-25,Bologna,21,1129,1,1,0.7301,0.7301,1.0091,10,10,3.9055,2.8998,D S
5678,2025-26,Bologna | Juventus,18,891,1,4,1.1489,1.1489,2.2786,13,9,4.3352,3.0599,D S
5680,2024-25,Verona,32,1940,4,1,4.7946,4.7946,2.1191,23,22,8.2909,2.3353,F S
5680,2025-26,Verona,34,1046,0,1,1.6174,1.6174,1.3703,19,15,4.1505,1.9156,F M S
5685,2023-24,Atalanta,34,2641,12,5,6.4772,4.9546,6.8475,54,59,18.9022,11.4847,F M S
5685,2024-25,Juventus,28,1998,3,3,4.8931,4.8931,2.5622,42,37,9.2317,3.9347,F M S
5685,2025-26,Juventus,33,1803,0,0,1.795,1.795,0.7337,28,16,8.0817,6.7649,D M S
5687,2023-24,Torino,33,2630,3,2,3.2144,3.2144,3.4073,46,35,13.1145,7.3534,F M S
5687,2024-25,Torino,30,2127,5,4,3.3856,1.863,2.6417,31,32,7.9034,4.7948,F M S
5687,2025-26,Torino,37,3079,8,3,7.4081,3.6016,4.6804,49,54,14.8539,8.5309,F M S
5694,2023-24,Udinese,1,81,0,0,0.0,0.0,0.178,0,6,0.178,0.033,F
5695,2023-24,Genoa,16,767,0,1,0.0962,0.0962,0.8938,4,3,1.0057,0.6379,D M S
5695,2024-25,Venezia,25,1369,1,1,1.4897,1.4897,1.0017,15,7,4.6282,2.3849,D S
5701,2023-24,Cagliari,17,929,0,0,0.1257,0.1257,0.8503,3,6,3.2031,2.4631,D S
