id,stagione,squadra,ruolo,minuti,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
791,2025-26,Genoa,D,930,13,5.81,5.65,0,0,0,0,0,0,0,0,0,1
795,2024-25,Roma,C,1075,21,6.19,6.71,3,0,0,0,0,0,3,2,0,0
795,2025-26,Roma,C,623,18,6.14,6.33,1,0,0,0,0,0,2,4,0,0
801,2024-25,Monza,C,148,6,5.67,5.58,0,0,0,0,0,0,0,1,0,0
801,2025-26,Verona,C,2212,29,5.91,5.84,1,0,0,0,0,0,0,10,0,0
827,2024-25,Juventus,C,2852,35,6.19,6.26,2,0,0,1,1,0,1,9,0,0
827,2025-26,Juventus,C,3031,36,6.26,6.19,1,0,0,1,0,1,2,9,0,0
1852,2024-25,Napoli,D,1531,23,6.07,6.22,1,0,0,0,0,0,1,1,0,0
1852,2025-26,Napoli,D,1906,30,6.17,6.55,3,0,0,0,0,0,3,1,0,0
1870,2024-25,Inter,C,2485,33,6.26,6.65,3,0,0,0,0,0,6,4,0,0
1870,2025-26,Inter,C,2561,34,6.28,6.71,3,0,0,0,0,0,9,7,0,0
1871,2024-25,Cagliari,C,1439,25,5.98,6.14,2,0,0,0,0,0,1,6,0,0
1871,2025-26,Cagliari,C,1444,20,5.98,5.95,0,0,0,0,0,0,1,3,0,0
1926,2024-25,Inter,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,2025-26,Inter,P,8,1,6,5,0,1,0,0,0,0,0,0,0,0
1930,2024-25,Juventus,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,2025-26,Juventus,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,2024-25,Fiorentina,C,1940,27,6.19,6.67,4,0,0,1,1,0,4,7,0,0
1933,2025-26,Fiorentina,C,2470,34,6.04,6.62,7,0,0,1,1,0,2,7,0,0
2012,2024-25,Juventus,A,,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2025-26,Juventus,A,33,2,6,6,0,0,0,0,0,0,0,0,0,0
2038,2024-25,Genoa,A,2886,36,5.96,6.68,10,0,0,1,0,1,1,4,0,0
2038,2025-26,Sassuolo,A,2610,34,5.88,6.62,9,0,0,1,0,1,3,2,1,0
2061,2024-25,Napoli,A,349,19,5.92,6.11,1,0,0,0,0,0,1,1,0,0
2061,2025-26,Torino,A,2273,32,6.08,7.09,11,0,0,0,0,0,0,1,0,0
2077,2024-25,Atalanta,C,1973,33,5.91,6.14,3,0,0,1,0,1,2,1,0,0
2077,2025-26,Atalanta,C,1922,31,5.94,6.27,3,0,0,0,0,0,3,3,0,0
2097,2024-25,Fiorentina,A,2722,32,6.42,8.08,19,0,0,2,1,1,2,6,0,0
2097,2025-26,Fiorentina,A,2042,26,5.88,6.77,8,0,0,2,2,0,1,4,0,0
2120,2024-25,Inter,D,2468,32,6.42,6.55,1,0,0,0,0,0,4,4,1,0
2120,2025-26,Inter,D,2269,28,6.2,6.34,1,0,0,0,0,0,4,6,0,0
2127,2025-26,Sassuolo,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
2134,2024-25,Lecce,P,3420,38,6.26,4.79,0,58,1,0,0,0,0,2,0,0
2134,2025-26,Lecce,P,3420,38,6.41,5.22,0,50,2,0,0,0,0,2,0,0
2137,2024-25,Atalanta,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2137,2025-26,Atalanta,A,1318,22,6.18,7.55,10,0,0,2,2,0,1,2,0,0
2155,2024-25,Como,A,2058,33,6.02,6.67,7,0,0,1,0,1,4,1,0,0
2155,2025-26,Parma,A,908,14,5.71,5.93,1,0,0,0,0,0,0,0,0,0
2167,2024-25,Bologna,C,1914,29,6.53,8.19,15,0,0,3,3,0,4,2,0,0
2167,2025-26,Bologna,C,2146,34,6.06,6.76,10,0,0,6,4,2,1,2,0,0
2170,2024-25,Torino,P,3330,37,6.3,5.45,0,42,4,0,0,0,0,3,0,0
2170,2025-26,Napoli,P,2430,27,6.2,5.65,0,24,3,0,0,0,0,0,0,0
2188,2024-25,Lazio,D,2336,31,5.85,6.16,4,0,0,0,0,0,0,1,0,1
2188,2025-26,Lazio,D,2794,33,5.86,5.97,1,0,0,0,0,0,2,1,1,0
