id,nome,prezzo_medio_per_1000,mediana_per_1000,p25,p75,n_campioni,partecipanti,fonte
6151,PERRONE,11,,,,,,tabella_prezzi_medi_asta_seed
6164,VITINHA O.,14.4,,,,,,tabella_prezzi_medi_asta_seed
6170,GINEITIS,2.2,,,,,,tabella_prezzi_medi_asta_seed
6190,PISILLI,5.7,,,,,,tabella_prezzi_medi_asta_seed
6191,BELAHYANE,1.6,,,,,,tabella_prezzi_medi_asta_seed
6202,BEUKEMA,3.3,,,,,,tabella_prezzi_medi_asta_seed
6204,KVERNADZE,7.9,,,,,,tabella_prezzi_medi_asta_seed
6206,FABBIAN,3.2,,,,,,tabella_prezzi_medi_asta_seed
6207,ALMQVIST,2.3,,,,,,tabella_prezzi_medi_asta_seed
6212,ZARRAGA,1.8,,,,,,tabella_prezzi_medi_asta_seed
6215,LUCCA,5.2,,,,,,tabella_prezzi_medi_asta_seed
6217,BISSECK,34.1,,,,,,tabella_prezzi_medi_asta_seed
6218,ORISTANIO,3,,,,,,tabella_prezzi_medi_asta_seed
6219,BOLOCA,2,,,,,,tabella_prezzi_medi_asta_seed
6225,EL AZZOUZI O.,2.3,,,,,,tabella_prezzi_medi_asta_seed
6229,TOURÈ E.,23.8,,,,,,tabella_prezzi_medi_asta_seed
6238,OYONO A.,2.4,,,,,,tabella_prezzi_medi_asta_seed
6241,GELLI F.,2.3,,,,,,tabella_prezzi_medi_asta_seed
6243,BORRELLI,2.2,,,,,,tabella_prezzi_medi_asta_seed
6246,LIPANI,2.3,,,,,,tabella_prezzi_medi_asta_seed
6248,STANKOVIC F.,4.2,,,,,,tabella_prezzi_medi_asta_seed
6252,FOLORUNSHO,3,,,,,,tabella_prezzi_medi_asta_seed
6274,DIOUF,31.8,,,,,,tabella_prezzi_medi_asta_seed
6294,NDOUR,7.1000000000000005,,,,,,tabella_prezzi_medi_asta_seed
6320,DOEKHI,8.200000000000001,,,,,,tabella_prezzi_medi_asta_seed
6344,SANCHEZ RO.,5.8,,,,,,tabella_prezzi_medi_asta_seed
6372,MOREIRA,39.1,,,,,,tabella_prezzi_medi_asta_seed
6397,RAMOS G.,316.2,,,,,,tabella_prezzi_medi_asta_seed
6398,ISAKSEN,12.9,,,,,,tabella_prezzi_medi_asta_seed
6403,CHRISTENSEN O.,1.8,,,,,,tabella_prezzi_medi_asta_seed
6410,KABA,1.8,,,,,,tabella_prezzi_medi_asta_seed
6415,PALMISANI,2.4,,,,,,tabella_prezzi_medi_asta_seed
6434,YILDIZ,89.39999999999999,,,,,,tabella_prezzi_medi_asta_seed
6435,KRSTOVIC,104.3,,,,,,tabella_prezzi_medi_asta_seed
6462,OKOYE,27,,,,,,tabella_prezzi_medi_asta_seed
6482,MANDAS,32.7,,,,,,tabella_prezzi_medi_asta_seed
6485,KRISTENSEN T.,12.200000000000001,,,,,,tabella_prezzi_medi_asta_seed
6495,COMUZZO,6.5,,,,,,tabella_prezzi_medi_asta_seed
6496,BARTESAGHI,14.8,,,,,,tabella_prezzi_medi_asta_seed
6503,STANKOVIC A.,2.8,,,,,,tabella_prezzi_medi_asta_seed
6506,FINI,2.4,,,,,,tabella_prezzi_medi_asta_seed
6519,CAMARDA,3.7,,,,,,tabella_prezzi_medi_asta_seed
6530,GHEDJEMIS,5.8999999999999995,,,,,,tabella_prezzi_medi_asta_seed
6531,JIMENEZ A.,20.7,,,,,,tabella_prezzi_medi_asta_seed
6534,PERRI,4.8,,,,,,tabella_prezzi_medi_asta_seed
6537,GOGLICHIDZE,1,,,,,,tabella_prezzi_medi_asta_seed
6549,PIEROTTI,2.8,,,,,,tabella_prezzi_medi_asta_seed
6556,NOSLIN,2.6,,,,,,tabella_prezzi_medi_asta_seed
6569,STOLZ,1.8,,,,,,tabella_prezzi_medi_asta_seed
6572,CASTRO S.,49.3,,,,,,tabella_prezzi_medi_asta_seed
6592,FORSON O.,2.2,,,,,,tabella_prezzi_medi_asta_seed
6593,AKINSANMIRO,2.2,,,,,,tabella_prezzi_medi_asta_seed
6598,MUTANDWA,1.9,,,,,,tabella_prezzi_medi_asta_seed
6601,KAMBWALA,1.8,,,,,,tabella_prezzi_medi_asta_seed
6618,CISSÈ A.,16.2,,,,,,tabella_prezzi_medi_asta_seed
6629,DELE-BASHIRU,2.1,,,,,,tabella_prezzi_medi_asta_seed
6631,GHILARDI,2.5,,,,,,tabella_prezzi_medi_asta_seed
6632,GASPAR K.,3.1,,,,,,tabella_prezzi_medi_asta_seed
6638,MARIN R.,3.2,,,,,,tabella_prezzi_medi_asta_seed
6640,FELICI,2.2,,,,,,tabella_prezzi_medi_asta_seed
6642,COCO,4.4,,,,,,tabella_prezzi_medi_asta_seed
6646,ADAMS C.,15,,,,,,tabella_prezzi_medi_asta_seed
6650,SHERRI,1.8,,,,,,tabella_prezzi_medi_asta_seed
6659,LUCCHESI,2,,,,,,tabella_prezzi_medi_asta_seed
6660,MARCANDALLI,5.8,,,,,,tabella_prezzi_medi_asta_seed
6662,CORVI,4.4,,,,,,tabella_prezzi_medi_asta_seed
6664,DELPRATO,12.5,,,,,,tabella_prezzi_medi_asta_seed
6666,BERNABÈ,12.3,,,,,,tabella_prezzi_medi_asta_seed
6669,BONNY,20.9,,,,,,tabella_prezzi_medi_asta_seed
6671,GRANDI,1.7,,,,,,tabella_prezzi_medi_asta_seed
6672,IDZES,4.5,,,,,,tabella_prezzi_medi_asta_seed
6673,SVERKO,1.8,,,,,,tabella_prezzi_medi_asta_seed
6675,DOVBYK,69.5,,,,,,tabella_prezzi_medi_asta_seed
6677,ADZIC,9.5,,,,,,tabella_prezzi_medi_asta_seed
6678,LIBERALI,7.2,,,,,,tabella_prezzi_medi_asta_seed
6680,KARLSTROM,2.6,,,,,,tabella_prezzi_medi_asta_seed
6681,SAGRADO,2.6,,,,,,tabella_prezzi_medi_asta_seed
6684,EKKELENKAMP,40.300000000000004,,,,,,tabella_prezzi_medi_asta_seed
6717,KONÈ I.,2.8,,,,,,tabella_prezzi_medi_asta_seed
6727,COUTO,27.099999999999998,,,,,,tabella_prezzi_medi_asta_seed
6752,WOLTEMADE,135.3,,,,,,tabella_prezzi_medi_asta_seed
6766,KELLY L.,5.8,,,,,,tabella_prezzi_medi_asta_seed
6783,UNAI GOMEZ,3.9,,,,,,tabella_prezzi_medi_asta_seed
6809,MARIANUCCI,2,,,,,,tabella_prezzi_medi_asta_seed
6813,TORRIANI,1.8,,,,,,tabella_prezzi_medi_asta_seed
6815,FADERA,2.6,,,,,,tabella_prezzi_medi_asta_seed
6821,HAINAUT,2.9,,,,,,tabella_prezzi_medi_asta_seed
6822,EKHATOR,2.4,,,,,,tabella_prezzi_medi_asta_seed
6826,DEMBELÈ A.,2,,,,,,tabella_prezzi_medi_asta_seed
6827,NJIE,5.1000000000000005,,,,,,tabella_prezzi_medi_asta_seed
6831,NERES,10.9,,,,,,tabella_prezzi_medi_asta_seed
6833,MBANGULA,3.9,,,,,,tabella_prezzi_medi_asta_seed
6844,ROWE,46.199999999999996,,,,,,tabella_prezzi_medi_asta_seed
6867,VALLE,9.9,,,,,,tabella_prezzi_medi_asta_seed
6869,RAMON,33.5,,,,,,tabella_prezzi_medi_asta_seed
6875,PAZ N.,166.3,,,,,,tabella_prezzi_medi_asta_seed
6883,JEAN,3.9,,,,,,tabella_prezzi_medi_asta_seed
6884,CONCEICAO,68.1,,,,,,tabella_prezzi_medi_asta_seed
6889,ANJORIN,1.7,,,,,,tabella_prezzi_medi_asta_seed
6890,MORENO M.,2,,,,,,tabella_prezzi_medi_asta_seed
6892,SCHINGTIENNE,2.5,,,,,,tabella_prezzi_medi_asta_seed
6893,KEMPF,5.6,,,,,,tabella_prezzi_medi_asta_seed
6895,DOMINGUEZ B.,2.6,,,,,,tabella_prezzi_medi_asta_seed
6896,VAN DER BREMPT,2.5,,,,,,tabella_prezzi_medi_asta_seed
6898,KEITA M.,2.4,,,,,,tabella_prezzi_medi_asta_seed
6903,HASA,2,,,,,,tabella_prezzi_medi_asta_seed
6904,YEBOAH J.,16.6,,,,,,tabella_prezzi_medi_asta_seed
6908,ATTA,70,,,,,,tabella_prezzi_medi_asta_seed
6917,MASINI,2.6,,,,,,tabella_prezzi_medi_asta_seed
6925,PALMA,2.8,,,,,,tabella_prezzi_medi_asta_seed
6956,SOLET,46.9,,,,,,tabella_prezzi_medi_asta_seed
6966,BUTEZ,79,,,,,,tabella_prezzi_medi_asta_seed
6967,DIAO,46.300000000000004,,,,,,tabella_prezzi_medi_asta_seed
6977,OTOA,2,,,,,,tabella_prezzi_medi_asta_seed
