id,titolarita,accordo,presenze_web,fonti,ballottaggio_con,ballottaggio_pct,rigorista,stato,rientro_stimato,partite_saltate,fuori_lista
7317,0.0,1.0,13.2,0,,,,condizioni monitorate dopo il ricovero di agosto,2026-09-11,0,0
7318,0.1,0.8,16.1,1,,,,,,,0
7319,0.086,0.829,15.9,1,,,,,,,0
7322,0.314,0.371,19.5,2,5007,40,,,,,0
7326,0.16,0.68,16.1,1,,,,,,,0
7329,0.64,0.28,24.3,3,,,,,,,0
7332,1.0,1.0,34.1,4,,,,,,,0
7337,0.3,0.4,11.8,3,,,,,,,0
7338,0.0,1.0,0.0,0,,,,,,,1
7341,0.24,0.52,18.3,1,,,,,,,0
7342,0.22,0.56,16.9,1,7554,,3,,,,0
7345,0.071,0.857,15.6,1,,,,,,,0
7346,0.0,1.0,0.0,0,,,,,,,1
7347,0.6,0.2,23.3,2,4463,,,,,,0
7349,0.14,0.72,15.6,1,,,,,,,0
7351,1.0,1.0,30.1,4,6831,,,noie muscolari,2026-09-11,0,0
7356,0.0,1.0,0.0,0,,,,,,,1
7357,0.06,0.88,15.5,1,,,,,,,0
7363,0.004,0.992,2.4,1,,,,,,,0
7374,0.543,0.086,22.4,2,7547,45,,,,,0
7392,0.0,1.0,0.0,0,,,,,,,1
7396,0.0,1.0,0.0,0,,,,,,,1
7407,0.0,1.0,0.0,0,,,,,,,1
7408,0.06,0.88,14.2,1,,,,,,,0
7409,0.22,0.56,18.0,1,,,,,,,0
7410,0.8,0.6,27.0,3,5603,,,,,,0
7411,0.02,0.96,2.9,1,6662,42,,,,,0
7412,0.44,0.12,21.5,2,,,,,,,0
7413,0.14,0.72,15.8,1,,,,,,,0
7414,0.24,0.52,17.5,1,6867,50,,,,,0
7418,0.0,1.0,14.5,0,,,,,,,0
7436,0.286,0.429,19.0,1,2832,,,,,,0
7449,0.4,0.2,20.0,1,,,,,,,0
7453,0.0,1.0,13.2,0,,,,,,,0
7454,0.1,0.8,15.1,1,,,,,,,0
7456,0.12,0.76,16.4,1,,,,,,,0
7457,0.02,0.96,2.9,1,,,,,,,0
7463,0.02,0.96,2.9,1,,,,,,,0
7464,0.8,0.6,27.2,3,4465,67,,,,,0
7466,0.0,1.0,2.3,0,,,,,,,0
7467,1.0,1.0,30.4,4,,,,,,,0
7468,0.0,1.0,0.0,0,,,,,,,1
7469,0.8,0.6,27.0,3,,,,,,,0
7470,0.0,1.0,0.0,0,,,,,,,1
7471,0.0,1.0,0.0,0,,,,,,,1
7472,1.0,1.0,30.4,4,7550,,1,,,,0
7473,0.24,0.52,18.3,1,,,,,,,0
7474,0.0,1.0,0.0,0,,,,,,,1
7475,0.004,0.992,2.4,1,,,,,,,0
7476,0.12,0.76,15.4,1,,,,,,,0
7477,0.14,0.72,16.7,1,,,,,,,0
7478,0.0,1.0,9.2,0,,,,operato alla spalla,2026-12-14,12,0
7481,0.1,0.8,16.1,1,,,,,,,0
7482,0.14,0.72,15.6,1,,,,,,,0
7483,0.4,0.2,20.2,1,,,,,,,0
7484,1.0,1.0,30.1,4,,,2,,,,0
7485,1.0,1.0,30.4,4,,,,,,,0
7523,0.6,0.2,22.1,3,,,3,fastidio muscolare all adduttore,2026-10-05,2,0
7525,0.057,0.886,14.4,1,,,,,,,0
7526,0.8,0.6,27.0,3,,,,,,,0
7528,0.62,0.24,24.4,3,5298,,,,,,0
7529,0.12,0.76,15.4,1,4807,,,,,,0
7531,0.004,0.992,2.4,1,,,,,,,0
7532,0.1,0.8,15.1,1,,,,,,,0
7533,0.004,0.992,2.4,1,,,,,,,0
7534,0.003,0.994,2.4,1,,,,,,,0
7535,1.0,1.0,30.4,4,6170,,,,,,0
7536,0.0,1.0,14.1,0,,,,noie fisiche,2026-09-18,1,0
7537,0.64,0.28,24.3,3,6020,43,,,,,0
7538,0.4,0.2,20.2,1,,,,,,,0
7540,0.0,1.0,13.4,0,,,,,,,0
7545,0.0,1.0,0.0,0,,,,,,,1
7546,0.4,0.2,20.0,1,,,,,,,0
7547,0.429,0.143,20.4,3,7374|5336,55|67,,,,,0
7548,0.071,0.857,14.6,1,,,,,,,0
7550,0.62,0.24,24.4,3,7472,,,,,,0
7551,1.0,1.0,30.4,4,,,2,,,,0
7553,0.08,0.84,14.8,1,,,,,,,0
7554,1.0,1.0,30.1,4,7342,,,,,,0
7556,1.0,1.0,30.4,4,5734,,,,,,0
7557,0.014,0.971,2.8,1,,,,,,,0
7560,0.004,0.992,2.4,1,,,,,,,0
7561,0.64,0.28,24.0,3,6206,47,,,,,0
7563,0.08,0.84,14.8,1,,,,,,,0
7564,0.8,0.6,27.0,3,,,,,,,0
7568,0.06,0.88,14.2,1,,,,,,,0
7571,0.0,1.0,14.5,0,,,,,,,0
7572,0.0,1.0,14.5,0,,,,,,,0
7573,0.4,0.2,20.2,1,,,,,,,0
7574,0.22,0.56,18.0,1,,,,,,,0
7575,0.44,0.12,21.5,2,,,,,,,0
7579,0.157,0.686,17.0,1,,,,,,,0
7580,0.429,0.143,20.7,3,6320,61,,,,,0
7599,0.4,0.2,20.2,1,4998,,,,,,0
7600,0.4,0.2,20.0,1,,,,,,,0
7602,0.157,0.686,15.9,1,7619,19,,,,,0
7603,0.014,0.971,2.8,1,,,,,,,0
7604,0.14,0.72,15.8,1,,,,,,,0
7605,0.56,0.12,22.9,3,,,,,,,0
7610,0.24,0.52,17.3,1,,,,,,,0
7611,0.014,0.971,2.8,1,,,,,,,0
7612,0.42,0.16,20.3,2,,,,,,,0
7615,0.12,0.76,15.4,1,,,,,,,0
7618,0.257,0.486,18.6,2,,,,,,,0
7619,0.443,0.114,21.5,3,6549|7001|7602,|55|50,,,,,0
7620,0.2,0.6,16.6,1,5878,,,,,,0
7621,0.143,0.714,15.8,1,,,,,,,0
7622,0.0,1.0,0.0,0,,,,,,,1
7623,0.22,0.56,16.9,1,,,,,,,0
7624,0.22,0.56,18.0,1,1933,,,,,,0
7625,0.82,0.64,27.5,4,6827,62,1,,,,0
7626,0.004,0.992,2.4,1,,,,,,,0
7627,0.06,0.88,14.2,1,,,,,,,0
7628,0.1,0.8,16.1,1,,,,,,,0
