nome_maiuscolo,prezzo_medio_per_1000_crediti
IDRISSI R.,2.2
PIERAGNOLO,1.9
LIPANI,2.3
FLORIANI MUSSOLINI,3.5
OSTIGARD,32.7
RAMON,33.5
LEZZERINI,1.8
PIOTROWSKI,2.7
LITETA,2
PALMA,2.8
NDABA,2.2
JASHARI,2.8
NDIAYE,2.1
CHRISTENSEN O.,1.8
IDZES,4.5
MURIC,7.6
MILLER L.,2.1
CANDÈ,2.1
HEGGEM,4.4
FRIGAN,2.2
ADZIC,9.5
TROILO,3
ILKHAN,2.2
ROWE,46.199999999999996
DIOUF,31.8
MATIC,2.6
SIEBERT,2.2
STULIC,2.8
BELLA-KOTCHAP,3.3
BRITSCHGI,2.2
ORISTANIO,3
ZIOLKOWSKI,2.1
HOJLUND,286.9
ZHEGROVA,3.7
RABIOT,88.4
AKANJI,49.6
ZANIOLO,59.1
GUEYE,2.2
RODRIGUEZ JU.,2.8
ZÈ PEDRO,2.7
NICOLUSSI CAVIGLIA,2.5
CREMASCHI,1.8
VERGARA,17.6
KOUADIO,2.4
BERNASCONI,17.8
TORNQVIST,1.8
SHERRI,1.8
TAYLOR K.,31.7
GORTER,2.2
GANDELMAN,2.4
TREPY,1.9
ARIZALA,2.5
NGOM,2.7
FOFANA SA.,1.7
MALEN,409.7
HELLAND,2.4
MOTTA,2
BIJLOW,11.6
BOGA,17
ELPHEGE,3
AMORIM,2.5
KULENOVIC,2
PRZYBOREK,1.8
SANTOS A.,64
BAKOLA,3.3
CARBONI F.,1.9
LAHDO,1.9
SIVIERO,1.8
MENDY P.,4
RAMOS G.,316.2
YEBOAH J.,16.6
GHEDJEMIS,5.8999999999999995
RAIMONDO,14.5
CALÒ,14.7
ADORANTE,2.3
STANKOVIC F.,4.2
THIAM,2.3
RRAHMANI AL.,2.3
CACCIAMANI,7.2
PESSINA,3
BUSIO,5.6
PALMISANI,2.4
KAIKI,9.5
MUTANDWA,1.9
COLPANI,10.1
HAVEL,2.1
DRAGUSIN,16.1
MEICHTRY,2.5
STANKOVIC A.,2.8
KOUTSOUPIAS,2.1
KVERNADZE,7.9
MOTA,3.3
UNAI GOMEZ,3.9
COLOMBO L.,2.6
GELLI F.,2.3
CHAKVETADZE,2.1
CICHELLA,2.3
HAPS,3.8
PEDRAZA,4
BIRINDELLI,3.7
BRACAGLIA,3.6
MILLA,5.8999999999999995
OYONO A.,2.4
CARBONI A.,2.4
BAKOUNE,2.1
LAUBERBACH,1.8
VIERY,4
FRANJIC,2.1
CALVANI,2.3
EL AZZOUZI O.,2.3
MONTERISI,3.5
ROMANO,4.2
GRANDI,1.7
SCHINGTIENNE,2.5
CITTADINI,2.1
ABANKWAH,2.2
MARIN R.,3.2
CIURRIA,2.3
PUCZKA,2.3
DAGASSO,1.8
HASA,2
LOLIC,1.7
LISMAN,1.8
STRAJNAR,1.6
SAGRADO,2.6
DUNCAN,2.3
DAFFARA,2.5
KONE B.,1.9
ANTOV,1.9
AMEY,1.9
LUCCHESI,2
GOMES,1.7
SVERKO,1.8
CORREIA T.,2.8
RENZETTI,1.8
MORENO M.,2
PIANA,1.8
STOLZ,1.8
POZZI,1.7
TRAORÈ HJ.,2.5
STONES,26.5
MANGAS,6.5
DOEKHI,8.200000000000001
PEREZ K.,2.4
ADAMS A.,32.300000000000004
