id,nome,squadra,ruolo,fonti_squadra,peso_titolare,titolarita_web,accordo,presenze_web,fonti_che_lo_schierano,ballottaggio_con,ballottaggio_id,ballottaggio_pct,rigorista_web,rigorista_fonti,stato,rientro_stimato,partite_saltate,fuori_lista
7476,Bakoune,Monza,D,5.0,0.6,0.12,0.76,15.4,1,,,,,0,,,,0
7477,Colombo L.,Monza,C,5.0,0.7,0.14,0.72,16.7,1,,,,,0,,,,0
7478,Franjic,Venezia,D,5.0,0.0,0.0,1.0,9.2,0,,,,,0,operato alla spalla,2026-12-14,12,0
7481,Dagasso,Venezia,C,5.0,0.5,0.1,0.8,16.1,1,,,,,0,,,,0
7482,Lauberbach,Venezia,A,5.0,0.7,0.14,0.72,15.6,1,,,,,0,,,,0
7483,Alhassane,Bologna,D,5.0,2.0,0.4,0.2,20.2,1,,,,,0,,,,0
7484,Adams A.,Venezia,A,5.0,5.0,1.0,1.0,30.1,4,,,,2,2,,,,0
7485,Mangas,Monza,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
7523,Varela G.,Monza,A,5.0,3.0,0.6,0.2,22.1,3,,,,3,2,fastidio muscolare all adduttore,2026-10-05,2,0
7525,Diawara S.,Milan,D,7.0,0.4,0.057,0.886,14.4,1,,,,,0,,,,0
7526,Comert,Torino,D,5.0,4.0,0.8,0.6,27.0,3,,,,,0,,,,0
7528,Amondarain,Bologna,C,5.0,3.1,0.62,0.24,24.4,3,Pobega,5298,,,0,,,,0
7529,Koulierakis,Roma,D,5.0,0.6,0.12,0.76,15.4,1,Hermoso,4807,,,0,,,,0
7531,Pozzi,Venezia,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
7532,Kofler,Cagliari,D,7.0,0.7,0.1,0.8,15.1,1,,,,,0,,,,0
7533,Happonen,Bologna,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
7534,Renzetti,Lazio,P,7.0,0.02,0.003,0.994,2.4,1,,,,,0,,,,0
7535,Fitz-Jim,Torino,C,5.0,5.0,1.0,1.0,30.4,4,Gineitis,6170,,,0,,,,0
7536,Diallo O.,Parma,C,5.0,0.0,0.0,1.0,14.1,0,,,,,0,noie fisiche,2026-09-18,1,0
7537,Mitaj,Genoa,D,5.0,3.2,0.64,0.28,24.3,3,Ellertsson,6020,43,,0,,,,0
7538,Halhal,Venezia,D,5.0,2.0,0.4,0.2,20.2,1,,,,,0,,,,0
7540,Akpoguma,Frosinone,D,5.0,0.0,0.0,1.0,13.4,0,,,,,0,,,,0
7545,Vismara,Atalanta,P,5.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
7546,Robinson J.,Monza,A,5.0,2.0,0.4,0.2,20.0,1,,,,,0,,,,0
7547,Kevin Carlos,Cagliari,A,7.0,3.0,0.429,0.143,20.4,3,Mendy P.|Nzola,7374|5336,55|67,,0,,,,0
7548,Aurelio,Cagliari,D,7.0,0.5,0.071,0.857,14.6,1,,,,,0,,,,0
7550,Grillitsch,Frosinone,C,5.0,3.1,0.62,0.24,24.4,3,Calò,7472,,,0,,,,0
7551,Schmid,Frosinone,C,5.0,5.0,1.0,1.0,30.4,4,,,,2,1,,,,0
7553,Omar Fayed,Frosinone,D,5.0,0.4,0.08,0.84,14.8,1,,,,,0,,,,0
7554,Romero D.,Parma,A,5.0,5.0,1.0,1.0,30.1,4,Elphege,7342,,,0,,,,0
7556,Mora,Roma,C,5.0,5.0,1.0,1.0,30.4,4,Soulè,5734,,,0,,,,0
7557,Penev,Lecce,P,7.0,0.1,0.014,0.971,2.8,1,,,,,0,,,,0
7560,Pisseri,Frosinone,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
7561,Lontani,Parma,A,5.0,3.2,0.64,0.28,24.0,3,Fabbian,6206,47,,0,,,,0
7563,Favasuli,Napoli,D,5.0,0.4,0.08,0.84,14.8,1,,,,,0,,,,0
7564,Leysen F.,Sassuolo,D,5.0,4.0,0.8,0.6,27.0,3,,,,,0,,,,0
7568,De Martis,Parma,A,5.0,0.3,0.06,0.88,14.2,1,,,,,0,,,,0
7571,Laerke,Lecce,C,7.0,0.0,0.0,1.0,14.5,0,,,,,0,,,,0
7572,Comotto,Milan,C,7.0,0.0,0.0,1.0,14.5,0,,,,,0,,,,0
7573,Cinquegrano,Sassuolo,D,5.0,2.0,0.4,0.2,20.2,1,,,,,0,,,,0
7574,Foe Ondoa,Monza,C,5.0,1.1,0.22,0.56,18.0,1,,,,,0,,,,0
7575,Mout,Monza,C,5.0,2.2,0.44,0.12,21.5,2,,,,,0,,,,0
7579,Massolin,Cagliari,C,7.0,1.1,0.157,0.686,17.0,1,,,,,0,,,,0
7580,Sutalo J.,Lazio,D,7.0,3.0,0.429,0.143,20.7,3,Doekhi,6320,61,,0,,,,0
7599,Lulli,Roma,D,5.0,2.0,0.4,0.2,20.2,1,Molina N.,4998,,,0,,,,0
7600,Osmajic,Genoa,A,5.0,2.0,0.4,0.2,20.0,1,,,,,0,,,,0
7602,Fatah,Lecce,A,7.0,1.1,0.157,0.686,15.9,1,Monteiro J.,7619,19,,0,,,,0
7603,Grabara,Juventus,P,7.0,0.1,0.014,0.971,2.8,1,,,,,0,,,,0
7604,Maye,Monza,D,5.0,0.7,0.14,0.72,15.8,1,,,,,0,,,,0
7605,Tchato,Frosinone,D,5.0,2.8,0.56,0.12,22.9,3,,,,,0,,,,0
7610,Birligea,Frosinone,A,5.0,1.2,0.24,0.52,17.3,1,,,,,0,,,,0
7611,Mrozek,Udinese,P,7.0,0.1,0.014,0.971,2.8,1,,,,,0,,,,0
